time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909505,356000,2836290,1960,1960,39000,38999,0,0,44706,44693,44651,44647,1,1,13167,39998,57873,44651,1960,51,18,18,0,0,13167,0,0,51,206,12,0,2022-07-04T07:38:25,140,2.3392666666666666,1656909515.87246,2022-07-04T07:38:35,125317,2.0886166666666663,940.0910033506967
1656909521,576000,2852290,1969,1969,39493,39492,0,0,44919,44906,44864,44860,1,1,13225,41142,58144,44864,1969,51,18,18,0,0,13225,0,0,51,106,12,0,2022-07-04T07:38:41,156,2.6096,1656909529.80988,2022-07-04T07:38:49,141317,2.3552833333333334,1039.5259370337544
1656909532,513000,2863290,1976,1976,39978,39976,0,0,45128,45115,45073,45069,2,2,13284,41354,58412,45073,1976,51,18,18,0,0,13285,0,0,51,150,12,0,2022-07-04T07:38:52,167,2.7918833333333333,1656909540.3716369,2022-07-04T07:39:00,152317,2.538616666666667,1102.562748456716
1656909545,504000,2876290,1987,1987,40553,40551,0,0,45376,45363,45321,45317,2,2,13352,41365,58728,45321,1987,51,18,18,0,0,13353,0,0,51,10,12,0,2022-07-04T07:39:05,180,3.0084,1656909554.840736,2022-07-04T07:39:14,165317,2.7552833333333333,1182.7841334586572
1656909557,978000,2888290,1998,1998,41088,41086,0,0,45606,45593,45551,45547,2,2,13416,41459,59022,45551,1998,51,18,18,0,0,13417,0,0,51,202,12,0,2022-07-04T07:39:17,192,3.2163,1656909564.912493,2022-07-04T07:39:24,177317,2.9552833333333335,1257.4613321625764
1656909569,818000,2900290,2008,2008,41620,41618,0,0,45836,45822,45780,45776,2,2,13479,41470,59315,45780,2008,51,19,19,0,0,13480,0,0,51,54,12,0,2022-07-04T07:39:29,204,3.4136333333333337,1656909578.942961,2022-07-04T07:39:38,189317,3.1552833333333337,1322.7409848400216
1656909578,892000,2909290,2015,2015,42006,42004,0,0,46003,45989,45947,45943,2,2,13524,41692,59527,45947,2015,51,19,19,0,0,13525,0,0,51,91,12,0,2022-07-04T07:39:38,213,3.5648666666666666,1656909589.504236,2022-07-04T07:39:49,198317,3.3052833333333336,1386.7207337820867
1656909587,144000,2923290,2023,2023,42418,42416,0,0,46182,46168,46125,46121,2,2,13570,41161,59752,46125,2023,52,19,19,0,0,13571,0,0,52,93,12,0,2022-07-04T07:39:47,222,3.7024,1656909603.0252,2022-07-04T07:40:03,212317,3.538616666666667,1461.7776354528187
1656909604,864000,2935290,2030,2030,42882,42880,0,0,46384,46370,46327,46323,2,2,13623,52960,60007,46327,2030,52,19,19,0,0,13624,0,0,52,189,12,0,2022-07-04T07:40:04,239,3.9977333333333336,1656909613.815737,2022-07-04T07:40:13,224317,3.7386166666666667,1532.6639427810412
1656909613,897000,2944290,2038,2038,43281,43279,0,0,46554,46540,46497,46493,2,2,13673,53219,60227,46497,2038,53,19,19,0,0,13674,0,0,53,4,12,0,2022-07-04T07:40:13,248,4.1482833333333335,1656909624.466317,2022-07-04T07:40:24,233317,3.8886166666666666,1591.3938541705052
