time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch
1656911714,145800,5060475,4.300000190734863,13311,14398.505859375,24,13,2,2022-07-04T08:15:14,2349,39.152429999999995,1656911727.39726,2022-07-04T08:15:27,2349502,39.158366666666666
1656911724,284800,5070614,4.170000076293945,13211,14446.5458984375,87,13,2,2022-07-04T08:15:24,2359,39.32141333333333,1656911735.307328,2022-07-04T08:15:35,2359641,39.32735
1656911730,902900,5077232,4.210000038146973,13147,14477.482421875,122,13,2,2022-07-04T08:15:30,2365,39.431715000000004,1656911740.128952,2022-07-04T08:15:40,2366259,39.43765
1656911739,959000,5086288,4.070000171661377,13053,14523.1953125,175,13,2,2022-07-04T08:15:39,2374,39.582649999999994,1656911748.446924,2022-07-04T08:15:48,2375315,39.58858333333333
1656911747,999000,5094328,4.139999866485596,12968,14564.81640625,220,13,2,2022-07-04T08:15:47,2382,39.716649999999994,1656911756.5367608,2022-07-04T08:15:56,2383355,39.72258333333333
1656911756,157200,5102486,4.039999961853027,12878,14609.18359375,7,13,2,2022-07-04T08:15:56,2391,39.85262,1656911764.95014,2022-07-04T08:16:04,2391513,39.85855
1656911764,915200,5111244,4.050000190734863,12773,14661.3408203125,60,13,2,2022-07-04T08:16:04,2399,39.99858666666667,1656911773.306537,2022-07-04T08:16:13,2400271,40.00451666666667
1656911773,970200,5120299,4.019999980926514,12680,14707.8974609375,114,13,2,2022-07-04T08:16:13,2408,40.149503333333335,1656911781.767444,2022-07-04T08:16:21,2409326,40.155433333333335
1656911785,627400,5132060,3.7899999618530273,12551,14773.0458984375,185,13,2,2022-07-04T08:16:25,2420,40.34379,1656911797.806136,2022-07-04T08:16:37,2421087,40.35145
1656911801,975500,5148438,3.7300000190734863,12385,14857.873046875,27,13,2,2022-07-04T08:16:41,2436,40.616258333333334,1656911814.506588,2022-07-04T08:16:54,2437465,40.62441666666667
1656911814,663600,5160992,3.7899999618530273,12258,14923.544921875,97,13,2,2022-07-04T08:16:54,2449,40.82772666666666,1656911822.3269808,2022-07-04T08:17:02,2450019,40.83365
1656911823,467700,5169796,3.549999952316284,12160,14974.6884765625,150,13,2,2022-07-04T08:17:03,2458,40.97446166666667,1656911830.637589,2022-07-04T08:17:10,2458823,40.98038333333333
1656911827,821700,5174418,3.559999942779541,12112,14999.8876953125,177,13,2,2022-07-04T08:17:07,2462,41.04702833333333,1656911838.88568,2022-07-04T08:17:18,2463445,41.05741666666667
1656911838,101000,5184430,3.2699999809265137,11931,15095.8251953125,230,13,2,2022-07-04T08:17:18,2473,41.21835,1656911846.706017,2022-07-04T08:17:26,2473457,41.22428333333333
1656911845,204500,5191738,3.2699999809265137,11824,15153.2265625,19,13,2,2022-07-04T08:17:25,2480,41.33674166666666,1656911855.107264,2022-07-04T08:17:35,2480765,41.34608333333333
1656911854,410800,5200740,3.380000114440918,11728,15205.1728515625,72,13,2,2022-07-04T08:17:34,2489,41.49018,1656911863.0363169,2022-07-04T08:17:43,2489767,41.496116666666666
