time_s,time_us,time_steady,is_open[0],is_open[1],is_open[2],is_open[3],seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909706,451000,3036297,1,1,1,1,114,12,0,2022-07-04T07:41:46,341,5.69085,1656909713.6999528,2022-07-04T07:41:53,325324,5.422066666666667,2174.3350911662346
1656909715,164000,3044797,1,1,1,1,207,12,0,2022-07-04T07:41:55,350,5.8360666666666665,1656909724.769897,2022-07-04T07:42:04,333824,5.563733333333333,2230.7774884811415
1656909739,820000,3070098,1,1,1,1,229,12,0,2022-07-04T07:42:19,374,6.247,1656909748.499764,2022-07-04T07:42:28,359125,5.985416666666667,2382.175419119124
1656909764,531000,3094198,1,1,1,1,238,12,0,2022-07-04T07:42:44,399,6.65885,1656909772.270684,2022-07-04T07:42:52,383225,6.387083333333334,2531.6459128678416
1656909772,337000,3101998,1,1,1,1,68,12,0,2022-07-04T07:42:52,407,6.78895,1656909782.862808,2022-07-04T07:43:02,391025,6.517083333333333,2575.9519615573286
1656909787,675000,3117498,1,1,1,1,239,12,0,2022-07-04T07:43:07,422,7.044583333333334,1656909796.131321,2022-07-04T07:43:16,406525,6.775416666666667,2663.0917474767384
1656909799,137000,3128798,1,1,1,1,107,12,0,2022-07-04T07:43:19,434,7.235616666666667,1656909806.525169,2022-07-04T07:43:26,417825,6.96375,2731.537192701879
1656909823,396000,3152998,1,1,1,1,117,12,0,2022-07-04T07:43:43,458,7.6399333333333335,1656909830.652237,2022-07-04T07:43:50,442025,7.3670833333333325,2878.2772670826926
1656909829,919000,3159398,1,1,1,1,188,12,0,2022-07-04T07:43:49,464,7.74865,1656909841.1421678,2022-07-04T07:44:01,448425,7.47375,2916.0839493084286
1656909840,657000,3175898,1,1,1,1,113,12,0,2022-07-04T07:44:00,475,7.927616666666666,1656909855.073701,2022-07-04T07:44:15,464925,7.74875,3012.511665911609
1656909858,885000,3187698,1,1,1,1,243,12,0,2022-07-04T07:44:18,493,8.231416666666666,1656909865.642741,2022-07-04T07:44:25,476725,7.9454166666666675,3086.63528173958
1656909881,57000,3210498,1,1,1,1,238,12,0,2022-07-04T07:44:41,516,8.600950000000001,1656909888.6631758,2022-07-04T07:44:48,499525,8.325416666666666,3217.727775009381
1656909893,429000,3222698,1,1,1,1,116,12,0,2022-07-04T07:44:53,528,8.80715,1656909899.133036,2022-07-04T07:44:59,511725,8.52875,3295.059135881386
1656909905,818000,3234798,1,1,1,1,249,12,0,2022-07-04T07:45:05,540,9.013633333333333,1656909912.807116,2022-07-04T07:45:12,523825,8.730416666666667,3373.309253760793
1656909927,433000,3255998,1,1,1,1,226,12,0,2022-07-04T07:45:27,562,9.373883333333334,1656909936.49416,2022-07-04T07:45:36,545025,9.08375,3497.5584452235853
1656909938,637000,3267698,1,1,1,1,99,12,0,2022-07-04T07:45:38,573,9.560616666666666,1656909946.655853,2022-07-04T07:45:46,556725,9.27875,3561.3484109596934
1656909950,68000,3278598,1,1,1,1,219,12,0,2022-07-04T07:45:50,585,9.751133333333334,1656909957.104313,2022-07-04T07:45:57,567625,9.460416666666667,3633.353564118215
1656909960,984000,3289998,1,1,1,1,88,12,0,2022-07-04T07:46:00,595,9.933066666666667,1656909970.915809,2022-07-04T07:46:10,579025,9.650416666666667,3701.667747706327
1656909971,733000,3300098,1,1,1,1,199,12,0,2022-07-04T07:46:11,606,10.112216666666665,1656909981.404388,2022-07-04T07:46:21,589125,9.81875,3768.4003653872905
1656909984,702000,3313098,1,1,1,1,86,12,0,2022-07-04T07:46:24,619,10.328366666666666,1656909994.0443408,2022-07-04T07:46:34,602125,10.035416666666666,3846.0324042635207
1656909997,18000,3325298,1,1,1,1,221,12,0,2022-07-04T07:46:37,632,10.533633333333334,1656910004.8845558,2022-07-04T07:46:44,614325,10.238750000000001,3915.3863983412994
1656910009,268000,3337498,1,1,1,1,99,12,0,2022-07-04T07:46:49,644,10.7378,1656910015.4853969,2022-07-04T07:46:55,626525,10.442083333333333,3989.2752353641577
1656910019,192000,3347398,1,1,1,1,208,12,0,2022-07-04T07:46:59,654,10.9032,1656910028.915536,2022-07-04T07:47:08,636425,10.607083333333332,4047.2628072958737
1656910032,750000,3361098,1,1,1,1,102,12,0,2022-07-04T07:47:12,667,11.129166666666666,1656910039.327057,2022-07-04T07:47:19,650125,10.835416666666667,4129.607992526033
1656910043,738000,3372198,1,1,1,1,224,12,0,2022-07-04T07:47:23,678,11.3123,1656910052.636749,2022-07-04T07:47:32,661225,11.020416666666668,4193.823576106984
1656910055,338000,3383598,1,1,1,1,94,12,0,2022-07-04T07:47:35,690,11.505633333333332,1656910062.955113,2022-07-04T07:47:42,672625,11.210416666666667,4257.03289876722
1656910067,25000,3395298,1,1,1,1,223,12,0,2022-07-04T07:47:47,702,11.700416666666666,1656910073.7254488,2022-07-04T07:47:53,684325,11.405416666666667,4327.736004972768
