time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656910043,823300,3389505,16.0836124420166,142,13,0,2022-07-04T07:47:23,678,11.313721666666668,1656910056.2151358,2022-07-04T07:47:36,678532,11.308866666666667,4194.288326412521
1656910057,67800,3402386,16.111703872680664,214,13,0,2022-07-04T07:47:37,692,11.534463333333333,1656910064.1666,2022-07-04T07:47:44,691413,11.52355,4268.030839434037
1656910065,963800,3411282,16.069562911987305,11,13,0,2022-07-04T07:47:45,700,11.68273,1656910073.1662638,2022-07-04T07:47:53,700309,11.671816666666667,4321.840747015303
1656910081,207000,3426669,16.013378143310547,99,13,0,2022-07-04T07:48:01,716,11.936783333333333,1656910088.776176,2022-07-04T07:48:08,715696,11.928266666666667,4416.028606848259
1656910090,144200,3435596,16.04146957397461,152,13,0,2022-07-04T07:48:10,725,12.085736666666666,1656910097.778832,2022-07-04T07:48:17,724623,12.077050000000002,4468.613985041625
1656910096,204100,3441646,15.985283851623535,187,13,0,2022-07-04T07:48:16,731,12.186735,1656910105.444897,2022-07-04T07:48:25,730673,12.177883333333334,4508.512237063917
1656910103,332600,3449408,15.957191467285156,232,13,0,2022-07-04T07:48:23,738,12.305543333333333,1656910113.305037,2022-07-04T07:48:33,738435,12.30725,4556.269212616046
1656910118,969400,3464865,16.027423858642578,64,13,0,2022-07-04T07:48:38,753,12.566156666666666,1656910129.3760169,2022-07-04T07:48:49,753892,12.564866666666667,4648.215795022849
1656910128,584700,3474216,16.027423858642578,117,13,0,2022-07-04T07:48:48,763,12.726411666666667,1656910136.857533,2022-07-04T07:48:56,763243,12.720716666666668,4732.635924448972
1656910130,710500,3482027,15.999329566955566,162,13,0,2022-07-04T07:48:50,765,12.761841666666667,1656910145.875597,2022-07-04T07:49:05,771054,12.8509,4748.22956689336
1656910142,562500,3487879,16.04146957397461,197,13,0,2022-07-04T07:49:02,777,12.959375,1656910152.7765288,2022-07-04T07:49:12,776906,12.948433333333332,4784.922893482089
1656910161,582700,3507223,15.957191467285156,47,13,0,2022-07-04T07:49:21,796,13.276378333333334,1656910169.2065089,2022-07-04T07:49:29,796250,13.270833333333334,4902.3703881384345
