time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656911156,138500,4501731,4065,3773,3435,3,0.07096510380506516,3924,340,130,2,0.3656015396118164,4058,3278,2808,3,0.0034495641011744738,112,13,0,2022-07-04T08:05:56,1791,29.852308333333333,1656911164.5479329,2022-07-04T08:06:04,1790758,29.845966666666666,11266.976046861411
1656911163,224500,4508656,4072,3790,3455,3,0.06879399716854095,3938,340,130,2,0.3656015396118164,4066,3296,2829,3,0.003300736891105771,156,13,0,2022-07-04T08:06:03,1798,29.970408333333335,1656911172.8204238,2022-07-04T08:06:12,1797683,29.961383333333334,11302.299051442084
1656911172,357800,4517970,4063,3775,3439,3,0.07052981853485107,3928,344,131,2,0.3701786398887634,4056,3286,2819,3,0.0033709558192640543,209,13,0,2022-07-04T08:06:12,1807,30.12263,1656911181.307364,2022-07-04T08:06:21,1806997,30.11661666666667,11352.542813610622
1656911179,650000,4525173,4063,3776,3441,3,0.07031238079071045,3928,346,132,2,0.37247034907341003,4056,3290,2824,3,0.0033356999047100544,254,13,0,2022-07-04T08:06:19,1814,30.24416666666667,1656911189.220085,2022-07-04T08:06:29,1814200,30.236666666666668,11393.48819041914
1656911190,446900,4535755,4065,3777,3443,3,0.07009506970643997,3928,346,132,2,0.37247034907341003,4059,3295,2829,3,0.003300736891105771,59,13,0,2022-07-04T08:06:30,1825,30.424114999999997,1656911197.6069,2022-07-04T08:06:37,1824782,30.41303333333333,11451.97390874671
1656911196,338900,4541647,4063,3785,3454,3,0.06890223920345306,3931,351,133,2,0.37820860743522644,4059,3306,2844,3,0.003197586862370372,95,13,0,2022-07-04T08:06:36,1831,30.522315,1656911205.776944,2022-07-04T08:06:45,1830674,30.511233333333333,11486.49752667863
1656911215,507900,4560920,4065,3783,3449,3,0.06944394111633301,3931,351,133,2,0.37820860743522644,4059,3310,2848,3,0.003170515177771449,201,13,0,2022-07-04T08:06:55,1850,30.841798333333333,1656911221.727644,2022-07-04T08:07:01,1849947,30.832449999999998,11597.214877867655
1656911221,362700,4566671,4075,3796,3467,3,0.0674976035952568,3942,352,136,2,0.37935787439346313,4059,3321,2864,3,0.003064027987420559,237,13,0,2022-07-04T08:07:01,1856,30.93937833333333,1656911230.228812,2022-07-04T08:07:10,1855698,30.9283,11629.020774294939
1656911228,814900,4574123,4063,3783,3452,3,0.06911882013082504,3929,354,135,2,0.3816578984260559,4056,3318,2861,3,0.00308377668261528,25,13,0,2022-07-04T08:07:08,1863,31.063581666666668,1656911238.166436,2022-07-04T08:07:18,1863150,31.052500000000002,11673.187542901629
1656911236,211900,4581520,4062,3784,3455,3,0.06879399716854095,3930,357,135,2,0.385111927986145,4056,3322,2867,3,0.003044377313926816,69,13,0,2022-07-04T08:07:16,1871,31.186865,1656911246.566221,2022-07-04T08:07:26,1870547,31.175783333333335,11719.655704908766
