time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656912143,32626,5488385,0.2655029296875,6.863999843597412,48,10,2,2022-07-04T08:22:23,2778,46.30054376666667,1656912151.240937,2022-07-04T08:22:31,2777412,46.2902,16635.343673486637
1656912159,641863,5504995,0.2655029296875,6.855999946594238,188,10,2,2022-07-04T08:22:39,2794,46.57736438333333,1656912167.261677,2022-07-04T08:22:47,2794022,46.567033333333335,16726.125736182054
1656912173,575992,5518929,0.24078369140625,6.5920000076293945,44,10,2,2022-07-04T08:22:53,2808,46.809599866666666,1656912182.840693,2022-07-04T08:23:02,2807956,46.79926666666667,16834.48830858546
1656912190,400042,5535753,0.23895263671875,6.584000110626221,186,10,2,2022-07-04T08:23:10,2825,47.090000700000004,1656912199.189925,2022-07-04T08:23:19,2824780,47.07966666666667,17008.619662215955
1656912207,269484,5552443,0.24261474609375,6.5879998207092285,72,10,2,2022-07-04T08:23:27,2842,47.371158066666666,1656912215.830205,2022-07-04T08:23:35,2841470,47.35783333333333,17147.203709731293
1656912222,143334,5567317,nan,nan,198,10,2,2022-07-04T08:23:42,2857,47.61905556666667,1656912231.2400038,2022-07-04T08:23:51,2856344,47.60573333333333,17282.34920517482
1656912235,971457,5581145,nan,nan,58,10,2,2022-07-04T08:23:55,2870,47.84952428333334,1656912246.7898319,2022-07-04T08:24:06,2870172,47.8362,17388.056586902596
1656912251,578911,5596753,nan,nan,184,10,2,2022-07-04T08:24:11,2886,48.10964851666667,1656912259.651321,2022-07-04T08:24:19,2885780,48.096333333333334,17467.184888098756
1656912267,728750,5612903,0.26275634765625,6.831999778747559,60,10,2,2022-07-04T08:24:27,2902,48.3788125,1656912276.10168,2022-07-04T08:24:36,2901930,48.3655,17537.73057640545
1656912284,788758,5629963,0.2618408203125,6.828000068664551,202,10,2,2022-07-04T08:24:44,2919,48.66314596666667,1656912292.462493,2022-07-04T08:24:52,2918990,48.649833333333326,17615.149498305822
1656912299,890679,5645065,0.23712158203125,6.552000045776367,78,10,2,2022-07-04T08:24:59,2934,48.91484465,1656912308.842373,2022-07-04T08:25:08,2934092,48.90153333333333,17681.368842759854
1656912314,408185,5659582,0.260009765625,6.6479997634887695,194,10,2,2022-07-04T08:25:14,2949,49.15680308333333,1656912325.053912,2022-07-04T08:25:25,2948609,49.14348333333333,17742.982942319108
1656912330,688957,5675863,nan,nan,70,10,2,2022-07-04T08:25:30,2965,49.42814928333333,1656912343.674361,2022-07-04T08:25:43,2964890,49.414833333333334,17814.78003731267
1656912349,834691,5695009,nan,nan,228,10,2,2022-07-04T08:25:49,2984,49.74724485,1656912359.8462439,2022-07-04T08:25:59,2984036,49.73393333333333,17902.107926576155
1656912362,888757,5708063,nan,6.808000087738037,88,10,2,2022-07-04T08:26:02,2997,49.96481261666667,1656912371.9257329,2022-07-04T08:26:11,2997090,49.9515,17960.658982393634
1656912378,868940,5724043,nan,nan,220,10,2,2022-07-04T08:26:18,3013,50.231148999999995,1656912390.446925,2022-07-04T08:26:30,3013070,50.21783333333334,18039.763811112618
1656912396,779253,5741953,nan,nan,106,10,2,2022-07-04T08:26:36,3031,50.52965421666667,1656912405.92662,2022-07-04T08:26:45,3030980,50.516333333333336,18133.169406982975
1656912412,841093,5758015,nan,nan,238,10,2,2022-07-04T08:26:52,3047,50.79735155,1656912422.406273,2022-07-04T08:27:02,3047042,50.78403333333333,18213.15893020923
