time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656911362,530700,4708173,3.9327831509647013,30000.0,36.711089956416906,9177.1826171875,32,13,2,2022-07-04T08:09:22,1997,33.29217833333333,1656911371.88406,2022-07-04T08:09:31,1997200,33.28666666666667,12499.871816696448
1656911369,173000,4714481,4.716039685498345,30000.0,36.711509995207116,9177.1826171875,66,13,2,2022-07-04T08:09:29,2004,33.402883333333335,1656911379.6264799,2022-07-04T08:09:39,2003508,33.3918,12541.70926260854
1656911377,852200,4723160,4.588316995376317,30000.0,36.71063639745654,9177.1826171875,120,13,2,2022-07-04T08:09:37,2012,33.547536666666666,1656911388.925045,2022-07-04T08:09:48,2012187,33.536449999999995,12593.857877097676
1656911385,544200,4730852,4.479752851790636,30000.0,36.72500616134238,9177.1826171875,165,13,2,2022-07-04T08:09:45,2020,33.675736666666666,1656911396.0835679,2022-07-04T08:09:56,2019879,33.66465,12638.835916282342
1656911394,252300,4739560,4.376297731370232,30000.0,36.72428596078193,9177.1826171875,218,13,2,2022-07-04T08:09:54,2029,33.82087166666667,1656911404.783437,2022-07-04T08:10:04,2028587,33.809783333333336,12687.216815697662
1656911402,67400,4747375,4.308604939391171,30000.0,36.73388770924972,9177.1826171875,5,13,2,2022-07-04T08:10:02,2037,33.951123333333335,1656911413.0233,2022-07-04T08:10:13,2036402,33.94003333333333,12731.008551591394
1656911404,694300,4750296,3.3085456830304794,30000.0,36.721651289512984,9177.1826171875,23,13,2,2022-07-04T08:10:04,2039,33.994905,1656911417.763381,2022-07-04T08:10:17,2039323,33.98871666666667,12749.09766801275
1656911426,527100,4772039,4.107123393935604,30000.0,36.46561795303359,9177.1826171875,148,13,2,2022-07-04T08:10:26,2061,34.358785,1656911434.789137,2022-07-04T08:10:34,2061066,34.351099999999995,12904.097996245182
1656911435,839200,4781147,4.008138965314197,30000.0,36.369330381661435,9177.1826171875,201,13,2,2022-07-04T08:10:35,2070,34.51398666666667,1656911442.654137,2022-07-04T08:10:42,2070174,34.5029,12956.123702607169
1656911442,887400,4788195,3.9362954968368284,30000.0,36.32357894608902,9177.1826171875,236,13,2,2022-07-04T08:10:42,2077,34.631456666666665,1656911451.042764,2022-07-04T08:10:51,2077222,34.62036666666667,12998.798917780594
1656911460,722500,4806030,3.7067160878303413,30000.0,36.15613410212843,9177.1826171875,86,13,2,2022-07-04T08:11:00,2095,34.92870833333333,1656911467.082309,2022-07-04T08:11:07,2095057,34.91761666666666,13113.11128788228
1656911473,427600,4818735,3.5243940551526065,30000.0,36.180194361698526,9177.1826171875,158,13,2,2022-07-04T08:11:13,2108,35.14046,1656911483.814673,2022-07-04T08:11:23,2107762,35.12936666666667,13169.743646431845
1656911484,558200,4829866,3.365062144460194,30000.0,36.204363531663546,9177.1826171875,219,13,2,2022-07-04T08:11:24,2119,35.32597,1656911491.773077,2022-07-04T08:11:31,2118893,35.314883333333334,13222.348414643642
1656911492,198400,4837506,2.2928519594046746,30000.0,36.22263145070245,9177.1826171875,8,13,2,2022-07-04T08:11:32,2127,35.45330666666667,1656911500.610457,2022-07-04T08:11:40,2126533,35.44221666666667,13259.927447468663
1656911502,463500,4847771,3.1591124989733546,30000.0,36.19304095429909,9177.1826171875,70,13,2,2022-07-04T08:11:42,2137,35.62439166666666,1656911509.094641,2022-07-04T08:11:49,2136798,35.613299999999995,13310.82361873051
1656911515,368300,4860790,3.018939289836112,30000.0,36.12687412240962,9177.1826171875,150,13,2,2022-07-04T08:11:55,2150,35.83947166666667,1656911525.011076,2022-07-04T08:12:05,2149817,35.830283333333334,13385.040882113248
1656911524,785700,4870093,1.9604630190970056,30000.0,36.04005143973469,9177.1826171875,203,13,2,2022-07-04T08:12:04,2159,35.996428333333334,1656911534.102061,2022-07-04T08:12:14,2159120,35.98533333333333,13441.342840911275
1656911532,713700,4878021,2.806923736068188,30000.0,36.01010825961899,9177.1826171875,248,13,2,2022-07-04T08:12:12,2167,36.12856166666666,1656911541.993345,2022-07-04T08:12:21,2167048,36.117466666666665,13480.82698107712
1656911540,472600,4885780,2.738593528856859,30000.0,35.97958660159608,9177.1826171875,35,13,2,2022-07-04T08:12:20,2175,36.25787666666667,1656911549.6913168,2022-07-04T08:12:29,2174807,36.24678333333333,13514.678214462869
1656911548,292700,4893600,1.65521547133103,30000.0,35.96301057909387,9177.1826171875,80,13,2,2022-07-04T08:12:28,2183,36.38821166666666,1656911557.47034,2022-07-04T08:12:37,2182627,36.377116666666666,13556.87825631518
1656911555,342500,4900650,2.5553155666239262,30000.0,35.93836787030002,9177.1826171875,125,13,2,2022-07-04T08:12:35,2190,36.50570833333334,1656911565.1217759,2022-07-04T08:12:45,2189677,36.494616666666666,13576.545841663738
1656911563,517500,4908825,2.4799609730436942,30000.0,35.998125618231164,9177.1826171875,168,13,2,2022-07-04T08:12:43,2198,36.641958333333335,1656911573.591197,2022-07-04T08:12:53,2197852,36.63086666666666,13609.15854405581
1656911572,388200,4917696,2.3892801053935044,30000.0,35.997580354842995,9177.1826171875,221,13,2,2022-07-04T08:12:52,2207,36.78980333333333,1656911581.8901649,2022-07-04T08:13:01,2206723,36.77871666666667,13650.254523972859
1656911579,967600,4925275,2.3260589913512604,30000.0,35.93702127409181,9177.1826171875,10,13,2,2022-07-04T08:12:59,2214,36.91612666666666,1656911586.5100129,2022-07-04T08:13:06,2214302,36.905033333333336,13686.740831303
1656911588,809800,4934117,2.260283536170232,30000.0,35.9466590834816,9177.1826171875,63,13,2,2022-07-04T08:13:08,2223,37.063496666666666,1656911595.049716,2022-07-04T08:13:15,2223144,37.0524,13726.069967152704
1656911592,14200,4937605,2.234101086852411,30000.0,35.931461898048155,9177.1826171875,82,13,2,2022-07-04T08:13:12,2227,37.11690333333333,1656911603.2204568,2022-07-04T08:13:23,2226632,37.110533333333336,13741.817206994567
1656911604,299500,4949607,2.1239433045589977,30000.0,35.8305566627648,9177.1826171875,151,13,2,2022-07-04T08:13:24,2239,37.32165833333333,1656911611.109401,2022-07-04T08:13:31,2238634,37.310566666666666,13801.680154020774
1656911608,965500,4954417,1.0785686506432284,30000.0,35.76935061861276,9177.1826171875,178,13,2,2022-07-04T08:13:28,2243,37.399424999999994,1656911619.222085,2022-07-04T08:13:39,2243444,37.39073333333333,13835.421083064208
1656911621,90500,4966398,1.9783436608038756,30000.0,35.75956533043135,9177.1826171875,249,13,2,2022-07-04T08:13:41,2256,37.60150833333333,1656911627.740356,2022-07-04T08:13:47,2255425,37.59041666666667,13910.397671306984
1656911623,848500,4969156,0.9885277874316671,30000.0,35.69382039024171,9177.1826171875,12,13,2,2022-07-04T08:13:43,2258,37.647475,1656911635.319237,2022-07-04T08:13:55,2258183,37.636383333333335,13931.905828769151
1656911629,477200,4980785,1.858287992023179,30000.0,35.59857906955926,9177.1826171875,73,13,2,2022-07-04T08:13:49,2264,37.74128666666666,1656911643.919765,2022-07-04T08:14:03,2269812,37.8302,14010.273366584248
1656911636,992000,4988300,1.803049666492575,30000.0,35.573240321997545,9177.1826171875,118,13,2,2022-07-04T08:13:56,2271,37.86653333333334,1656911651.681161,2022-07-04T08:14:11,2277327,37.955450000000006,14068.521177277249
1656911650,117200,4995762,1.7427026329832187,30000.0,35.532854966126536,9177.1826171875,161,13,2,2022-07-04T08:14:10,2285,38.08528666666667,1656911659.5132558,2022-07-04T08:14:19,2284789,38.07981666666667,14112.708043561635
1656911669,410800,5014718,0.662210239295473,30000.0,35.52703651309121,9177.1826171875,12,13,2,2022-07-04T08:14:29,2304,38.40684666666667,1656911675.948621,2022-07-04T08:14:35,2303745,38.39575,14197.275046451668
1656911671,626800,5016934,1.5830545920115582,30000.0,35.53702936764531,9177.1826171875,30,13,2,2022-07-04T08:14:31,2306,38.44378,1656911683.4791088,2022-07-04T08:14:43,2305961,38.43268333333333,14206.67459638253
1656911683,256600,5028564,1.5303708008623516,30000.0,35.48168593948297,9177.1826171875,91,13,2,2022-07-04T08:14:43,2318,38.63761,1656911692.048012,2022-07-04T08:14:52,2317591,38.62651666666667,14256.766192344649
1656911690,192600,5035500,1.4885430856885251,30000.0,35.44643170713218,9177.1826171875,136,13,2,2022-07-04T08:14:50,2325,38.753209999999996,1656911700.3979208,2022-07-04T08:15:00,2324527,38.74211666666667,14284.009907347192
1656911697,502800,5042810,1.455655659214085,30000.0,35.36618001206122,9177.1826171875,181,13,2,2022-07-04T08:14:57,2332,38.87504666666667,1656911707.973433,2022-07-04T08:15:07,2331837,38.86395,14312.542684404867
1656911701,47700,5052355,0.4118852537926614,30000.0,35.32091862960852,9177.1826171875,235,13,2,2022-07-04T08:15:01,2336,38.934128333333334,1656911718.5177488,2022-07-04T08:15:18,2341382,39.02303333333334,14351.591378304924
1656911713,922800,5060230,1.3617828771772338,30000.0,35.28565084255711,9177.1826171875,22,13,2,2022-07-04T08:15:13,2348,39.14871333333333,1656911726.840013,2022-07-04T08:15:26,2349257,39.15428333333333,14397.73767905504
1656911722,827800,5069135,1.3113342798071472,30000.0,35.23036986081848,9177.1826171875,75,13,2,2022-07-04T08:15:22,2357,39.29713,1656911731.5671608,2022-07-04T08:15:31,2358162,39.302699999999994,14439.642423053927
1656911731,770900,5078078,1.2803626866211744,30000.0,35.25023936568872,9177.1826171875,128,13,2,2022-07-04T08:15:31,2366,39.44618166666667,1656911740.128952,2022-07-04T08:15:40,2367105,39.45175,14481.863865218436
1656911739,590000,5085897,1.249391104131996,30000.0,35.15503448714441,9177.1826171875,173,13,2,2022-07-04T08:15:39,2374,39.5765,1656911748.446924,2022-07-04T08:15:48,2374924,39.58206666666667,14521.332694304461
1656911747,776000,5094083,1.213310820494371,30000.0,35.09483972112423,9177.1826171875,218,13,2,2022-07-04T08:15:47,2382,39.71293333333333,1656911756.5367608,2022-07-04T08:15:56,2383110,39.7185,14563.661990341263
1656911755,934200,5102241,1.175953373971447,30000.0,35.03464701672515,9177.1826171875,5,13,2,2022-07-04T08:15:55,2390,39.84890333333333,1656911764.95014,2022-07-04T08:16:04,2391268,39.85446666666667,14607.970840592134
1656911764,692200,5110999,1.1251855869752034,30000.0,34.98441284352643,9177.1826171875,58,13,2,2022-07-04T08:16:04,2399,39.99487,1656911773.306537,2022-07-04T08:16:13,2400026,40.00043333333333,14660.012770355497
1656911770,903400,5117384,1.1092208800234402,30000.0,34.9293276875819,9177.1826171875,95,13,2,2022-07-04T08:16:10,2405,40.09839,1656911780.576705,2022-07-04T08:16:20,2406411,40.10685,14692.129387445644
1656911779,824900,5126376,1.064839009630873,30000.0,34.84912711189235,9177.1826171875,148,13,2,2022-07-04T08:16:19,2414,40.247081666666666,1656911788.9571888,2022-07-04T08:16:28,2415403,40.25671666666666,14740.617544407909
1656911785,328400,5131739,1.024927274439051,30000.0,34.83897231807297,9177.1826171875,183,13,2,2022-07-04T08:16:25,2420,40.33880666666666,1656911797.123004,2022-07-04T08:16:37,2420766,40.3461,14771.374881142396
1656911796,168500,5142729,0.2793793261986366,30000.0,34.80606864328083,9177.1826171875,244,13,2,2022-07-04T08:16:36,2431,40.51947500000001,1656911805.0376248,2022-07-04T08:16:45,2431756,40.529266666666665,14827.741640107453
1656911801,827500,5148134,0.9339285846232315,30000.0,34.72362342341263,9177.1826171875,25,13,2,2022-07-04T08:16:41,2436,40.613791666666664,1656911813.3901,2022-07-04T08:16:53,2437161,40.619350000000004,14857.105103323838
1656911812,953100,5159496,-0.18838099719641832,30000.0,34.70939812317919,9177.1826171875,87,13,2,2022-07-04T08:16:52,2447,40.799218333333336,1656911821.776609,2022-07-04T08:17:01,2448523,40.80871666666667,14914.691607179539
1656911821,575700,5168016,0.08078044715150554,30000.0,34.66055285328736,9177.1826171875,140,13,2,2022-07-04T08:17:01,2456,40.942928333333334,1656911829.536809,2022-07-04T08:17:09,2457043,40.95071666666667,14963.697732992032
1656911827,598700,5173905,-0.20274902311246024,30000.0,34.594645758947976,9177.1826171875,175,13,2,2022-07-04T08:17:07,2462,41.04331166666667,1656911837.706313,2022-07-04T08:17:17,2462932,41.04886666666666,14998.597060084836
1656911837,579800,5183887,0.7458649182925001,30000.0,34.49803270155999,9177.1826171875,228,13,2,2022-07-04T08:17:17,2472,41.20966333333333,1656911845.5656528,2022-07-04T08:17:25,2472914,41.21523333333334,15090.960795499283
1656911844,717500,5191229,0.6826449628396404,30000.0,34.352906659639984,9177.1826171875,17,13,2,2022-07-04T08:17:24,2479,41.328625,1656911854.0485718,2022-07-04T08:17:34,2480256,41.337599999999995,15149.291253733858
1656911853,928900,5200236,0.5772784694621805,30000.0,34.33762008989006,9177.1826171875,70,13,2,2022-07-04T08:17:33,2488,41.482148333333335,1656911862.484989,2022-07-04T08:17:42,2489263,41.487716666666664,15202.45374435339
1656911876,413100,5222720,0.4380671710856404,30000.0,34.3621998682306,9177.1826171875,203,13,2,2022-07-04T08:17:56,2511,41.856885000000005,1656911887.256096,2022-07-04T08:18:07,2511747,41.862449999999995,15310.982019624496
1656911884,128100,5230435,0.38889625954552687,30000.0,34.4020095661331,9177.1826171875,248,13,2,2022-07-04T08:18:04,2519,41.98546833333333,1656911894.9048,2022-07-04T08:18:14,2519462,41.991033333333334,15349.149283985118
1656911891,889200,5238196,0.3566478192144359,30000.0,34.34198674033993,9177.1826171875,35,13,2,2022-07-04T08:18:11,2526,42.11482,1656911903.294924,2022-07-04T08:18:23,2527223,42.12038333333333,15395.098975912171
1656911895,430200,5241737,0.20147231800312965,30000.0,34.33654053383138,9177.1826171875,53,13,2,2022-07-04T08:18:15,2530,42.173836666666666,1656911908.084609,2022-07-04T08:18:28,2530764,42.1794,15420.171256480577
1656911911,30500,5257337,0.27874074388912506,30000.0,34.22192865615716,9177.1826171875,141,13,2,2022-07-04T08:18:31,2546,42.433841666666666,1656911924.9751558,2022-07-04T08:18:44,2546364,42.4394,15519.533860729252
1656911923,654300,5270175,0.20530380862694528,30000.0,34.111903787941316,9177.1826171875,213,13,2,2022-07-04T08:18:43,2558,42.644238333333334,1656911932.743825,2022-07-04T08:18:52,2559202,42.65336666666667,15598.645902990904
1656911932,642500,5278949,0.1570908968747972,30000.0,34.06186902574997,9177.1826171875,10,13,2,2022-07-04T08:18:52,2567,42.794041666666665,1656911941.0545878,2022-07-04T08:19:01,2567976,42.799600000000005,15643.796313510788
1656911940,241300,5286742,0.10025716664104038,30000.0,34.04177246301025,9177.1826171875,55,13,2,2022-07-04T08:19:00,2575,42.92068833333334,1656911948.9272199,2022-07-04T08:19:08,2575769,42.92948333333333,15678.05828438638
1656911948,270600,5294577,-1.0696156605422402,30000.0,34.04880490173594,9177.1826171875,98,13,2,2022-07-04T08:19:08,2583,43.05451,1656911957.283356,2022-07-04T08:19:17,2583604,43.060066666666664,15714.1518598835
1656911957,67400,5303478,-0.020434567984193564,30000.0,34.05646407847487,9177.1826171875,151,13,2,2022-07-04T08:19:17,2592,43.201123333333335,1656911965.612977,2022-07-04T08:19:25,2592505,43.20841666666667,15753.138039520585
1656911972,370300,5319141,-0.09834131570496538,30000.0,33.996412298952855,9177.1826171875,241,13,2,2022-07-04T08:19:32,2607,43.45617166666667,1656911981.803164,2022-07-04T08:19:41,2608168,43.46946666666667,15838.134492800396
