time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909800,150900,3145763,0,2,1122784,2,1132839,2,1122784,2,1132791,33,13,0,2022-07-04T07:43:20,435,7.252515,1656909807.781944,2022-07-04T07:43:27,434790,7.2465,2737.7501249854195
1656909823,949200,3169561,0,2,1122784,2,1132839,2,1122784,2,1132791,166,13,0,2022-07-04T07:43:43,458,7.6491533333333335,1656909831.8133678,2022-07-04T07:43:51,458588,7.643133333333334,2881.3827650557682
1656909829,208000,3175204,0,2,1122784,2,1132839,2,1122784,2,1132791,200,13,0,2022-07-04T07:43:49,464,7.736800000000001,1656909844.743224,2022-07-04T07:44:04,464231,7.737183333333333,2908.9578863004954
1656909841,289700,3192712,0,2,1122784,2,1132839,2,1122784,2,1132791,43,13,0,2022-07-04T07:44:01,476,7.938161666666667,1656909855.6025128,2022-07-04T07:44:15,481739,8.028983333333333,3014.5511080591386
1656909860,93800,3205414,0,2,1122784,2,1132839,2,1122784,2,1132791,122,13,0,2022-07-04T07:44:20,495,8.251563333333333,1656909866.3726768,2022-07-04T07:44:26,494441,8.240683333333333,3093.2630187898567
1656909869,873800,3215194,0,2,1122784,2,1132839,2,1122784,2,1132791,176,13,0,2022-07-04T07:44:29,504,8.414563333333334,1656909880.005169,2022-07-04T07:44:40,504221,8.403683333333333,3147.6839716478376
1656909891,262300,3236582,0,2,1122784,2,1132839,2,1122784,2,1132791,34,13,0,2022-07-04T07:44:51,526,8.771038333333333,1656909903.273597,2022-07-04T07:45:03,525609,8.760150000000001,3281.3740498849934
1656909907,916400,3253236,0,2,1122784,2,1132839,2,1122784,2,1132791,132,13,0,2022-07-04T07:45:07,542,9.048606666666666,1656909914.0443199,2022-07-04T07:45:14,542263,9.037716666666666,3386.562950375382
1656909928,310900,3273630,0,2,1122784,2,1132839,2,1122784,2,1132791,247,13,0,2022-07-04T07:45:28,563,9.388515,1656909937.7691839,2022-07-04T07:45:37,562657,9.377616666666666,3502.632425847956
1656909941,392900,3286712,0,2,1122784,2,1132839,2,1122784,2,1132791,63,13,0,2022-07-04T07:45:41,576,9.606548333333334,1656909948.4044359,2022-07-04T07:45:48,575739,9.595650000000001,3578.7079061553886
1656909962,858400,3308522,0,2,1122784,2,1132839,2,1122784,2,1132791,186,13,0,2022-07-04T07:46:02,597,9.964306666666666,1656909972.6660888,2022-07-04T07:46:12,597549,9.95915,3713.2327330987014
1656909969,959100,3315412,0,2,1122784,2,1132839,2,1122784,2,1132791,230,13,0,2022-07-04T07:46:09,604,10.082651666666667,1656909985.566161,2022-07-04T07:46:25,604439,10.073983333333333,3757.250199486584
1656909984,865600,3330185,0,2,1122784,2,1132839,2,1122784,2,1132791,63,13,0,2022-07-04T07:46:24,619,10.331093333333333,1656909995.184448,2022-07-04T07:46:35,619212,10.3202,3846.946158810279
1656909998,252800,3343571,0,2,1122784,2,1132839,2,1122784,2,1132791,134,13,0,2022-07-04T07:46:38,633,10.554213333333333,1656910006.094604,2022-07-04T07:46:46,632598,10.543299999999999,3922.4344762027918
1656910011,280900,3356599,0,2,1122784,2,1132839,2,1122784,2,1132791,214,13,0,2022-07-04T07:46:51,646,10.771348333333332,1656910019.7349,2022-07-04T07:46:59,645626,10.760433333333333,4000.678570166595
1656910018,434200,3363752,0,2,1122784,2,1132839,2,1122784,2,1132791,3,13,0,2022-07-04T07:46:58,653,10.89057,1656910030.174577,2022-07-04T07:47:10,652779,10.87965,4042.4021471947426
1656910043,827100,3389508,0,2,1122784,2,1132839,2,1122784,2,1132791,144,13,0,2022-07-04T07:47:23,678,11.313785,1656910053.8550608,2022-07-04T07:47:33,678535,11.308916666666667,4194.309030412064
1656910058,162500,3403480,0,2,1122784,2,1132839,2,1122784,2,1132791,224,13,0,2022-07-04T07:47:38,693,11.552708333333333,1656910064.785032,2022-07-04T07:47:44,692507,11.541783333333333,4274.990861198383
1656910070,365100,3415827,0,2,1122784,2,1132839,2,1122784,2,1132791,39,13,0,2022-07-04T07:47:50,705,11.756085,1656910078.636493,2022-07-04T07:47:58,704854,11.747566666666668,4346.590661568911
1656910092,640900,3437958,0,2,1122784,2,1132839,2,1122784,2,1132791,172,13,0,2022-07-04T07:48:12,727,12.127348333333334,1656910103.186009,2022-07-04T07:48:23,726985,12.116416666666668,4484.816656147414
1656910103,336300,3449411,0,2,1122784,2,1132839,2,1122784,2,1132791,234,13,0,2022-07-04T07:48:23,738,12.305605000000002,1656910112.746028,2022-07-04T07:48:32,738438,12.3073,4556.291615908665
1656910116,241200,3461872,0,2,1122784,2,1132839,2,1122784,2,1132791,49,13,0,2022-07-04T07:48:36,751,12.520686666666668,1656910123.307,2022-07-04T07:48:43,750899,12.514983333333333,4631.476001105294
1656910128,588500,3474220,0,2,1122784,2,1132839,2,1122784,2,1132791,120,13,0,2022-07-04T07:48:48,763,12.726474999999999,1656910136.857533,2022-07-04T07:48:56,763247,12.720783333333333,4732.669287577717
1656910138,854300,3484171,0,2,1122784,2,1132839,2,1122784,2,1132791,173,13,0,2022-07-04T07:48:58,773,12.897571666666666,1656910147.5654318,2022-07-04T07:49:07,773198,12.886633333333332,4773.442451897857
1656910163,404400,3509044,0,2,1122784,2,1132839,2,1122784,2,1132791,59,13,0,2022-07-04T07:49:23,798,13.30674,1656910171.535696,2022-07-04T07:49:31,798071,13.301183333333334,4913.535424013666
1656910175,251700,3520568,0,2,1122784,2,1132839,2,1122784,2,1132791,130,13,0,2022-07-04T07:49:35,810,13.504195000000001,1656910185.275364,2022-07-04T07:49:45,809595,13.49325,4986.781013340933
1656910199,185100,3544501,0,2,1122784,2,1132839,2,1122784,2,1132791,7,13,0,2022-07-04T07:49:59,834,13.903085,1656910206.094893,2022-07-04T07:50:06,833528,13.892133333333334,5133.103021751476
1656910209,432900,3554748,0,2,1122784,2,1132839,2,1122784,2,1132791,69,13,0,2022-07-04T07:50:09,844,14.073881666666667,1656910219.484952,2022-07-04T07:50:19,843775,14.062916666666666,5200.181960616661
1656910222,298400,3567828,0,2,1122784,2,1132839,2,1122784,2,1132791,140,13,0,2022-07-04T07:50:22,857,14.288306666666667,1656910230.195184,2022-07-04T07:50:30,856855,14.280916666666666,5281.462315755103
1656910246,566900,3592881,0,2,1122784,2,1132839,2,1122784,2,1132791,26,13,0,2022-07-04T07:50:46,881,14.692781666666667,1656910254.4049928,2022-07-04T07:50:54,881908,14.698466666666667,5458.442149589716
1656910269,163900,3615752,0,2,1122784,2,1132839,2,1122784,2,1132791,159,13,0,2022-07-04T07:51:09,904,15.069398333333334,1656910278.993872,2022-07-04T07:51:18,904779,15.079649999999999,5586.665008459942
1656910281,535200,3627850,0,2,1122784,2,1132839,2,1122784,2,1132791,230,13,0,2022-07-04T07:51:21,916,15.275586666666667,1656910289.194149,2022-07-04T07:51:29,916877,15.281283333333333,5665.0971907257135
