time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909655,930914,3001003,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,45,10,0,2022-07-04T07:40:55,290,4.848848566666666,1656909664.097508,2022-07-04T07:41:04,290030,4.833833333333333,1843.6967479556931
1656909680,930882,3026003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,120,10,0,2022-07-04T07:41:20,315,5.2655147,1656909688.139425,2022-07-04T07:41:28,315030,5.2505,2007.0919136304956
1656909691,937123,3037010,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,153,10,0,2022-07-04T07:41:31,326,5.44895205,1656909698.439508,2022-07-04T07:41:38,326037,5.433949999999999,2080.387981696405
1656909702,872281,3048013,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,186,10,0,2022-07-04T07:41:42,337,5.631204683333333,1656909712.3209078,2022-07-04T07:41:52,337040,5.617333333333334,2151.2487653064204
1656909738,862549,3084003,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,38,10,0,2022-07-04T07:42:18,373,6.231042483333334,1656909747.209888,2022-07-04T07:42:27,373030,6.2171666666666665,2376.541134392246
1656909749,872286,3095013,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,71,10,0,2022-07-04T07:42:29,384,6.4145381,1656909757.8911998,2022-07-04T07:42:37,384040,6.400666666666667,2441.3298212556365
1656909762,862133,3108003,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,110,10,0,2022-07-04T07:42:42,397,6.631035549999999,1656909770.9822,2022-07-04T07:42:50,397030,6.617166666666666,2521.051988766461
1656909774,862549,3120003,0,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,146,10,0,2022-07-04T07:42:54,409,6.831042483333333,1656909781.691649,2022-07-04T07:43:01,409030,6.817166666666666,2590.0342709540746
1656909785,862558,3131003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,179,10,0,2022-07-04T07:43:05,420,7.014375966666666,1656909794.523496,2022-07-04T07:43:14,420030,7.0005,2652.595699559334
1656909796,864316,3142005,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,212,10,0,2022-07-04T07:43:16,431,7.197738599999999,1656909805.251389,2022-07-04T07:43:25,431032,7.183866666666666,2717.682912509692
1656909808,640965,3154003,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,248,10,0,2022-07-04T07:43:28,443,7.394016083333333,1656909816.03636,2022-07-04T07:43:36,443030,7.383833333333333,2789.775175708228
1656909820,640648,3166003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,28,10,0,2022-07-04T07:43:40,455,7.5940108,1656909829.2933688,2022-07-04T07:43:49,455030,7.583833333333333,2862.809551878228
