time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908506,642015,1853,-25,12,-25,2022-07-04T07:21:46,1656908506.645708,2022-07-04T07:21:46
1656908507,203747,1854,-27,11,-27,2022-07-04T07:21:47,1656908507.206515,2022-07-04T07:21:47
1656908507,772693,1855,-28,12,-28,2022-07-04T07:21:47,1656908507.775851,2022-07-04T07:21:47
1656908508,323540,1856,-24,12,-25,2022-07-04T07:21:48,1656908508.326646,2022-07-04T07:21:48
1656908508,902817,1857,-23,12,-24,2022-07-04T07:21:48,1656908508.907808,2022-07-04T07:21:48
1656908509,442028,1858,-20,11,-21,2022-07-04T07:21:49,1656908509.445354,2022-07-04T07:21:49
1656908510,101732,1859,-21,12,-22,2022-07-04T07:21:50,1656908510.105038,2022-07-04T07:21:50
1656908510,701957,1860,-21,12,-21,2022-07-04T07:21:50,1656908510.707482,2022-07-04T07:21:50
1656908514,371674,1861,-20,12,-20,2022-07-04T07:21:54,1656908514.374977,2022-07-04T07:21:54
1656908514,950772,1862,-24,12,-24,2022-07-04T07:21:54,1656908514.953923,2022-07-04T07:21:54
1656908515,503535,1863,-19,12,-20,2022-07-04T07:21:55,1656908515.506344,2022-07-04T07:21:55
1656908516,142716,1864,-28,12,-28,2022-07-04T07:21:56,1656908516.147456,2022-07-04T07:21:56
1656908516,671699,1865,-33,12,-33,2022-07-04T07:21:56,1656908516.676955,2022-07-04T07:21:56
1656908517,212880,1866,-46,11,-46,2022-07-04T07:21:57,1656908517.216772,2022-07-04T07:21:57
1656908517,781671,1867,-28,12,-28,2022-07-04T07:21:57,1656908517.785036,2022-07-04T07:21:57
1656908518,352054,1868,-25,12,-26,2022-07-04T07:21:58,1656908518.355371,2022-07-04T07:21:58
1656908518,932569,1869,-28,12,-29,2022-07-04T07:21:58,1656908518.936119,2022-07-04T07:21:58
1656908522,502112,1870,-43,12,-44,2022-07-04T07:22:02,1656908522.507668,2022-07-04T07:22:02
1656908523,102402,1871,-30,12,-31,2022-07-04T07:22:03,1656908523.107652,2022-07-04T07:22:03
1656908523,704828,1872,-38,11,-39,2022-07-04T07:22:03,1656908523.707999,2022-07-04T07:22:03
1656908524,242364,1873,-35,12,-36,2022-07-04T07:22:04,1656908524.245283,2022-07-04T07:22:04
1656908524,791592,1874,-31,12,-31,2022-07-04T07:22:04,1656908524.794379,2022-07-04T07:22:04
1656908525,381649,1875,-31,12,-31,2022-07-04T07:22:05,1656908525.385195,2022-07-04T07:22:05
1656908526,13819,1876,-24,12,-24,2022-07-04T07:22:06,1656908526.018772,2022-07-04T07:22:06
1656908526,563115,1877,-19,12,-19,2022-07-04T07:22:06,1656908526.571177,2022-07-04T07:22:06
1656908527,161457,1878,-19,12,-19,2022-07-04T07:22:07,1656908527.164893,2022-07-04T07:22:07
1656908530,822698,1879,-18,12,-19,2022-07-04T07:22:10,1656908530.825587,2022-07-04T07:22:10
1656908531,402116,1880,-18,12,-19,2022-07-04T07:22:11,1656908531.405389,2022-07-04T07:22:11
1656908532,201973,1881,-19,12,-19,2022-07-04T07:22:12,1656908532.205286,2022-07-04T07:22:12
1656908532,831537,1882,-18,12,-19,2022-07-04T07:22:12,1656908532.834556,2022-07-04T07:22:12
1656908533,421375,1883,-18,12,-18,2022-07-04T07:22:13,1656908533.425032,2022-07-04T07:22:13
1656908534,97317,1884,-20,11,-21,2022-07-04T07:22:14,1656908534.102278,2022-07-04T07:22:14
1656908534,661955,1885,-25,12,-26,2022-07-04T07:22:14,1656908534.664955,2022-07-04T07:22:14
1656908535,201508,1886,-30,12,-30,2022-07-04T07:22:15,1656908535.204743,2022-07-04T07:22:15
1656908538,752670,1887,-30,12,-31,2022-07-04T07:22:18,1656908538.756984,2022-07-04T07:22:18
1656908540,353621,1888,-25,12,-26,2022-07-04T07:22:20,1656908540.356986,2022-07-04T07:22:20
1656908540,971285,1889,-27,12,-27,2022-07-04T07:22:20,1656908540.974245,2022-07-04T07:22:20
1656908541,521174,1890,-24,12,-24,2022-07-04T07:22:21,1656908541.524917,2022-07-04T07:22:21
1656908542,151385,1891,-24,12,-25,2022-07-04T07:22:22,1656908542.154989,2022-07-04T07:22:22
1656908542,733131,1892,-46,12,-46,2022-07-04T07:22:22,1656908542.739194,2022-07-04T07:22:22
1656908543,362478,1893,-38,12,-39,2022-07-04T07:22:23,1656908543.366753,2022-07-04T07:22:23
1656908547,1388,1894,-37,11,-38,2022-07-04T07:22:27,1656908547.005802,2022-07-04T07:22:27
1656908547,561888,1895,-32,12,-33,2022-07-04T07:22:27,1656908547.565607,2022-07-04T07:22:27
1656908548,131575,1896,-27,11,-28,2022-07-04T07:22:28,1656908548.136238,2022-07-04T07:22:28
1656908548,673794,1897,-32,12,-32,2022-07-04T07:22:28,1656908548.676737,2022-07-04T07:22:28
1656908549,211979,1898,-34,11,-35,2022-07-04T07:22:29,1656908549.215276,2022-07-04T07:22:29
1656908549,761125,1899,-28,12,-29,2022-07-04T07:22:29,1656908549.765205,2022-07-04T07:22:29
1656908550,331708,1900,-31,12,-31,2022-07-04T07:22:30,1656908550.33543,2022-07-04T07:22:30
1656908550,872909,1901,-37,12,-38,2022-07-04T07:22:30,1656908550.877092,2022-07-04T07:22:30
1656908554,972033,1902,-18,12,-19,2022-07-04T07:22:34,1656908554.975842,2022-07-04T07:22:34
1656908556,163021,1903,-21,11,-22,2022-07-04T07:22:36,1656908556.166395,2022-07-04T07:22:36
1656908556,730981,1904,-19,12,-20,2022-07-04T07:22:36,1656908556.734595,2022-07-04T07:22:36
1656908557,272276,1905,-22,12,-22,2022-07-04T07:22:37,1656908557.277153,2022-07-04T07:22:37
1656908557,882812,1906,-21,11,-21,2022-07-04T07:22:37,1656908557.885984,2022-07-04T07:22:37
1656908558,455104,1907,-26,12,-26,2022-07-04T07:22:38,1656908558.458228,2022-07-04T07:22:38
1656908559,121865,1908,-43,11,-44,2022-07-04T07:22:39,1656908559.125189,2022-07-04T07:22:39
1656908559,690990,1909,-22,12,-23,2022-07-04T07:22:39,1656908559.694232,2022-07-04T07:22:39
1656908563,410850,1910,-19,12,-19,2022-07-04T07:22:43,1656908563.41557,2022-07-04T07:22:43
1656908564,72006,1911,-20,11,-21,2022-07-04T07:22:44,1656908564.075451,2022-07-04T07:22:44
1656908564,622176,1912,-20,11,-20,2022-07-04T07:22:44,1656908564.625369,2022-07-04T07:22:44
1656908565,200970,1913,-21,11,-21,2022-07-04T07:22:45,1656908565.203972,2022-07-04T07:22:45
1656908565,751168,1914,-20,11,-21,2022-07-04T07:22:45,1656908565.755731,2022-07-04T07:22:45
1656908566,331010,1915,-21,12,-21,2022-07-04T07:22:46,1656908566.335888,2022-07-04T07:22:46
1656908566,891675,1916,-20,13,-20,2022-07-04T07:22:46,1656908566.896807,2022-07-04T07:22:46
1656908567,482616,1917,-19,12,-20,2022-07-04T07:22:47,1656908567.487542,2022-07-04T07:22:47
1656908568,172447,1918,-20,11,-21,2022-07-04T07:22:48,1656908568.178774,2022-07-04T07:22:48
1656908571,780479,1919,-30,12,-31,2022-07-04T07:22:51,1656908571.783265,2022-07-04T07:22:51
1656908572,422323,1920,-35,12,-35,2022-07-04T07:22:52,1656908572.425792,2022-07-04T07:22:52
1656908573,82371,1921,-37,11,-38,2022-07-04T07:22:53,1656908573.085487,2022-07-04T07:22:53
1656908573,611288,1922,-28,13,-29,2022-07-04T07:22:53,1656908573.616211,2022-07-04T07:22:53
1656908574,671507,1923,-35,12,-36,2022-07-04T07:22:54,1656908574.67511,2022-07-04T07:22:54
1656908575,221043,1924,-38,12,-39,2022-07-04T07:22:55,1656908575.225204,2022-07-04T07:22:55
1656908575,770759,1925,-30,12,-30,2022-07-04T07:22:55,1656908575.777045,2022-07-04T07:22:55
1656908576,440586,1926,-22,12,-22,2022-07-04T07:22:56,1656908576.444587,2022-07-04T07:22:56
1656908580,61380,1927,-19,11,-21,2022-07-04T07:23:00,1656908580.064887,2022-07-04T07:23:00
1656908583,290849,1928,-21,12,-22,2022-07-04T07:23:03,1656908583.296167,2022-07-04T07:23:03
1656908583,880437,1929,-23,11,-23,2022-07-04T07:23:03,1656908583.883347,2022-07-04T07:23:03
1656908584,511518,1930,-26,11,-27,2022-07-04T07:23:04,1656908584.516058,2022-07-04T07:23:04
1656908588,140384,1931,-53,10,-53,2022-07-04T07:23:08,1656908588.145234,2022-07-04T07:23:08
1656908588,680398,1932,-38,11,-38,2022-07-04T07:23:08,1656908588.683455,2022-07-04T07:23:08
1656908589,270290,1933,-32,11,-32,2022-07-04T07:23:09,1656908589.273809,2022-07-04T07:23:09
1656908589,810666,1934,-34,11,-35,2022-07-04T07:23:09,1656908589.815125,2022-07-04T07:23:09
1656908590,422932,1935,-34,12,-35,2022-07-04T07:23:10,1656908590.428262,2022-07-04T07:23:10
1656908591,12429,1936,-41,12,-41,2022-07-04T07:23:11,1656908591.018206,2022-07-04T07:23:11
1656908591,650680,1937,-42,12,-42,2022-07-04T07:23:11,1656908591.653758,2022-07-04T07:23:11
1656908592,230553,1938,-42,11,-42,2022-07-04T07:23:12,1656908592.23413,2022-07-04T07:23:12
1656908592,770684,1939,-36,12,-37,2022-07-04T07:23:12,1656908592.77475,2022-07-04T07:23:12
1656908596,513540,1940,-22,11,-23,2022-07-04T07:23:16,1656908596.51952,2022-07-04T07:23:16
1656908597,101156,1941,-24,12,-25,2022-07-04T07:23:17,1656908597.105977,2022-07-04T07:23:17
1656908597,741293,1942,-22,12,-23,2022-07-04T07:23:17,1656908597.744142,2022-07-04T07:23:17
1656908598,340756,1943,-26,12,-26,2022-07-04T07:23:18,1656908598.344083,2022-07-04T07:23:18
1656908598,880247,1944,-25,12,-25,2022-07-04T07:23:18,1656908598.884121,2022-07-04T07:23:18
1656908599,430605,1945,-23,11,-23,2022-07-04T07:23:19,1656908599.433644,2022-07-04T07:23:19
1656908600,40408,1946,-29,12,-29,2022-07-04T07:23:20,1656908600.043502,2022-07-04T07:23:20
1656908600,570028,1947,-29,13,-30,2022-07-04T07:23:20,1656908600.573927,2022-07-04T07:23:20
1656908604,709754,1948,-16,12,-17,2022-07-04T07:23:24,1656908604.714797,2022-07-04T07:23:24
1656908605,259873,1949,-20,12,-20,2022-07-04T07:23:25,1656908605.263338,2022-07-04T07:23:25
1656908605,790228,1950,-20,12,-21,2022-07-04T07:23:25,1656908605.796252,2022-07-04T07:23:25
1656908606,332932,1951,-22,12,-23,2022-07-04T07:23:26,1656908606.336042,2022-07-04T07:23:26
1656908606,859970,1952,-18,12,-18,2022-07-04T07:23:26,1656908606.8632,2022-07-04T07:23:26
1656908607,473415,1953,-19,12,-20,2022-07-04T07:23:27,1656908607.477882,2022-07-04T07:23:27
1656908608,187406,1954,-22,12,-23,2022-07-04T07:23:28,1656908608.190392,2022-07-04T07:23:28
1656908608,750158,1955,-22,12,-23,2022-07-04T07:23:28,1656908608.753139,2022-07-04T07:23:28
1656908609,290528,1956,-22,12,-23,2022-07-04T07:23:29,1656908609.293301,2022-07-04T07:23:29
1656908612,899939,1957,-18,11,-19,2022-07-04T07:23:32,1656908612.902897,2022-07-04T07:23:32
1656908613,439978,1958,-18,12,-19,2022-07-04T07:23:33,1656908613.443211,2022-07-04T07:23:33
1656908614,81051,1959,-19,13,-19,2022-07-04T07:23:34,1656908614.083884,2022-07-04T07:23:34
1656908614,629880,1960,-18,12,-19,2022-07-04T07:23:34,1656908614.632753,2022-07-04T07:23:34
1656908615,161590,1961,-19,12,-19,2022-07-04T07:23:35,1656908615.165862,2022-07-04T07:23:35
1656908615,700846,1962,-19,12,-19,2022-07-04T07:23:35,1656908615.704636,2022-07-04T07:23:35
1656908616,240959,1963,-19,13,-20,2022-07-04T07:23:36,1656908616.24393,2022-07-04T07:23:36
1656908616,769779,1964,-19,12,-19,2022-07-04T07:23:36,1656908616.772669,2022-07-04T07:23:36
1656908617,360155,1965,-20,12,-20,2022-07-04T07:23:37,1656908617.365116,2022-07-04T07:23:37
1656908621,119382,1966,-20,11,-21,2022-07-04T07:23:41,1656908621.122368,2022-07-04T07:23:41
1656908621,689864,1967,-19,12,-20,2022-07-04T07:23:41,1656908621.692544,2022-07-04T07:23:41
1656908622,340167,1968,-18,12,-19,2022-07-04T07:23:42,1656908622.343449,2022-07-04T07:23:42
1656908622,939870,1969,-19,12,-19,2022-07-04T07:23:42,1656908622.943902,2022-07-04T07:23:42
1656908623,489657,1970,-18,12,-19,2022-07-04T07:23:43,1656908623.494243,2022-07-04T07:23:43
1656908624,149887,1971,-21,12,-22,2022-07-04T07:23:44,1656908624.155267,2022-07-04T07:23:44
1656908624,769746,1972,-18,11,-18,2022-07-04T07:23:44,1656908624.773646,2022-07-04T07:23:44
1656908625,320692,1973,-18,12,-19,2022-07-04T07:23:45,1656908625.323478,2022-07-04T07:23:45
1656908630,559839,1974,-30,11,-30,2022-07-04T07:23:50,1656908630.566626,2022-07-04T07:23:50
1656908631,129689,1975,-28,12,-29,2022-07-04T07:23:51,1656908631.1357,2022-07-04T07:23:51
1656908632,239904,1976,-30,11,-30,2022-07-04T07:23:52,1656908632.24558,2022-07-04T07:23:52
1656908632,769313,1977,-29,12,-30,2022-07-04T07:23:52,1656908632.772538,2022-07-04T07:23:52
1656908633,319740,1978,-27,11,-28,2022-07-04T07:23:53,1656908633.322988,2022-07-04T07:23:53
1656908633,930153,1979,-27,11,-27,2022-07-04T07:23:53,1656908633.932606,2022-07-04T07:23:53
1656908637,509005,1980,-30,11,-30,2022-07-04T07:23:57,1656908637.515485,2022-07-04T07:23:57
1656908638,90789,1981,-32,11,-32,2022-07-04T07:23:58,1656908638.093384,2022-07-04T07:23:58
1656908638,659331,1982,-32,11,-33,2022-07-04T07:23:58,1656908638.662219,2022-07-04T07:23:58
1656908639,252147,1983,-33,12,-33,2022-07-04T07:23:59,1656908639.255136,2022-07-04T07:23:59
1656908639,830536,1984,-32,11,-33,2022-07-04T07:23:59,1656908639.833276,2022-07-04T07:23:59
1656908640,410113,1985,-32,11,-33,2022-07-04T07:24:00,1656908640.413128,2022-07-04T07:24:00
1656908640,979510,1986,-34,12,-34,2022-07-04T07:24:00,1656908640.982773,2022-07-04T07:24:00
1656908641,509472,1987,-34,13,-34,2022-07-04T07:24:01,1656908641.511974,2022-07-04T07:24:01
1656908642,69031,1988,-32,12,-32,2022-07-04T07:24:02,1656908642.072186,2022-07-04T07:24:02
1656908645,802555,1989,-33,12,-34,2022-07-04T07:24:05,1656908645.808823,2022-07-04T07:24:05
1656908646,389532,1990,-33,12,-33,2022-07-04T07:24:06,1656908646.393567,2022-07-04T07:24:06
1656908646,919191,1991,-31,12,-31,2022-07-04T07:24:06,1656908646.922226,2022-07-04T07:24:06
1656908647,458934,1992,-30,11,-31,2022-07-04T07:24:07,1656908647.462125,2022-07-04T07:24:07
1656908648,119113,1993,-32,12,-32,2022-07-04T07:24:08,1656908648.123477,2022-07-04T07:24:08
1656908648,679078,1994,-33,12,-34,2022-07-04T07:24:08,1656908648.685447,2022-07-04T07:24:08
1656908649,249802,1995,-31,12,-31,2022-07-04T07:24:09,1656908649.252985,2022-07-04T07:24:09
1656908649,800129,1996,-26,12,-26,2022-07-04T07:24:09,1656908649.803612,2022-07-04T07:24:09
1656908650,358889,1997,-32,11,-33,2022-07-04T07:24:10,1656908650.361825,2022-07-04T07:24:10
1656908654,19214,1998,-31,11,-32,2022-07-04T07:24:14,1656908654.024162,2022-07-04T07:24:14
1656908654,610396,1999,-31,12,-31,2022-07-04T07:24:14,1656908654.613737,2022-07-04T07:24:14
1656908655,199285,2000,-31,12,-31,2022-07-04T07:24:15,1656908655.203925,2022-07-04T07:24:15
1656908655,778894,2001,-31,13,-31,2022-07-04T07:24:15,1656908655.781888,2022-07-04T07:24:15
1656908656,403075,2002,-34,12,-35,2022-07-04T07:24:16,1656908656.406425,2022-07-04T07:24:16
