time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908467,462031,True,1812,1985,-35,11,-36,2022-07-04T07:21:07,1656908467.464825,2022-07-04T07:21:07
1656908468,152551,True,1813,1986,-41,11,-42,2022-07-04T07:21:08,1656908468.154183,2022-07-04T07:21:08
1656908468,692783,True,1814,1987,-31,12,-32,2022-07-04T07:21:08,1656908468.694354,2022-07-04T07:21:08
1656908469,243277,True,1815,1988,-28,12,-29,2022-07-04T07:21:09,1656908469.246595,2022-07-04T07:21:09
1656908472,821789,True,1816,1989,-35,11,-35,2022-07-04T07:21:12,1656908472.823804,2022-07-04T07:21:12
1656908473,374023,True,1817,1990,-34,12,-34,2022-07-04T07:21:13,1656908473.37572,2022-07-04T07:21:13
1656908474,2959,True,1818,1991,-30,12,-30,2022-07-04T07:21:14,1656908474.004534,2022-07-04T07:21:14
1656908474,573535,True,1819,1992,-31,13,-31,2022-07-04T07:21:14,1656908474.576767,2022-07-04T07:21:14
1656908475,112098,True,1820,1993,-31,12,-31,2022-07-04T07:21:15,1656908475.113649,2022-07-04T07:21:15
1656908475,683489,True,1821,1994,-31,12,-31,2022-07-04T07:21:15,1656908475.686123,2022-07-04T07:21:15
1656908476,213260,True,1822,1995,-33,12,-34,2022-07-04T07:21:16,1656908476.218145,2022-07-04T07:21:16
1656908476,792266,True,1823,1996,-34,11,-35,2022-07-04T07:21:16,1656908476.793896,2022-07-04T07:21:16
1656908477,352844,True,1824,1997,-49,11,-49,2022-07-04T07:21:17,1656908477.354406,2022-07-04T07:21:17
1656908481,4086,True,1825,1998,-40,12,-40,2022-07-04T07:21:21,1656908481.008013,2022-07-04T07:21:21
1656908481,541896,True,1826,1999,-39,12,-39,2022-07-04T07:21:21,1656908481.545447,2022-07-04T07:21:21
1656908482,102926,True,1827,2000,-34,12,-35,2022-07-04T07:21:22,1656908482.104643,2022-07-04T07:21:22
1656908482,652040,True,1828,2001,-32,11,-32,2022-07-04T07:21:22,1656908482.653619,2022-07-04T07:21:22
1656908483,303260,True,1829,2002,-34,11,-34,2022-07-04T07:21:23,1656908483.307188,2022-07-04T07:21:23
1656908483,992799,True,1830,2003,-30,11,-30,2022-07-04T07:21:23,1656908483.994387,2022-07-04T07:21:23
1656908484,563200,True,1831,2004,-31,12,-32,2022-07-04T07:21:24,1656908484.568769,2022-07-04T07:21:24
1656908485,181945,True,1832,2005,-32,12,-33,2022-07-04T07:21:25,1656908485.188732,2022-07-04T07:21:25
1656908485,732770,True,1833,2006,-31,11,-32,2022-07-04T07:21:25,1656908485.73429,2022-07-04T07:21:25
1656908489,352029,True,1834,2007,-30,11,-31,2022-07-04T07:21:29,1656908489.353547,2022-07-04T07:21:29
1656908489,882904,True,1835,2008,-30,12,-31,2022-07-04T07:21:29,1656908489.884565,2022-07-04T07:21:29
1656908490,432405,True,1836,2009,-32,11,-33,2022-07-04T07:21:30,1656908490.434042,2022-07-04T07:21:30
1656908491,41920,True,1837,2010,-30,12,-31,2022-07-04T07:21:31,1656908491.044099,2022-07-04T07:21:31
1656908491,678393,True,1838,2011,-30,12,-30,2022-07-04T07:21:31,1656908491.679947,2022-07-04T07:21:31
1656908492,222666,True,1839,2012,-26,11,-27,2022-07-04T07:21:32,1656908492.224314,2022-07-04T07:21:32
1656908492,792070,True,1840,2013,-27,11,-27,2022-07-04T07:21:32,1656908492.793719,2022-07-04T07:21:32
1656908493,475894,True,1841,2014,-28,12,-28,2022-07-04T07:21:33,1656908493.477507,2022-07-04T07:21:33
1656908494,92597,True,1842,2015,-25,12,-25,2022-07-04T07:21:34,1656908494.094228,2022-07-04T07:21:34
1656908497,662557,True,1843,2016,-22,12,-22,2022-07-04T07:21:37,1656908497.664666,2022-07-04T07:21:37
