time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909157,422100,2503757,0,2,1122784,2,1132839,2,1122784,2,1132791,146,13,0,2022-07-04T07:32:37,-208,-3.4596316666666667,-207216,-3.4536000000000002,96.27508503172646,100173.79418886198
1656909159,757100,2506093,0,2,1122784,2,1132839,2,1122784,2,1132791,156,13,0,2022-07-04T07:32:39,-206,-3.420715,-204880,-3.4146666666666667,96.99041921050878,100165.27888232133
1656909161,575100,2507910,0,2,1122784,2,1132839,2,1122784,2,1132791,165,13,0,2022-07-04T07:32:41,-204,-3.390415,-203063,-3.384383333333333,96.81888911409199,100167.32075471699
1656909163,150100,2509485,0,2,1122784,2,1132839,2,1122784,2,1132791,173,13,0,2022-07-04T07:32:43,-202,-3.364165,-201488,-3.3581333333333334,96.44382612186276,100171.785488959
1656909164,418100,2510754,0,2,1122784,2,1132839,2,1122784,2,1132791,182,13,0,2022-07-04T07:32:44,-201,-3.3430316666666666,-200219,-3.3369833333333334,96.19296303809399,100174.77176901925
1656909165,509100,2511844,0,2,1122784,2,1132839,2,1122784,2,1132791,191,13,0,2022-07-04T07:32:45,-200,-3.3248483333333336,-199129,-3.3188166666666663,96.32138816731441,100173.24300770166
1656909166,755900,2513367,0,2,1122784,2,1132839,2,1122784,2,1132791,200,13,0,2022-07-04T07:32:46,-199,-3.3040683333333334,-197606,-3.293433333333333,96.72746475622202,100168.40906987505
1656909168,917900,2515530,0,2,1122784,2,1132839,2,1122784,2,1132791,209,13,0,2022-07-04T07:32:48,-197,-3.268035,-195443,-3.2573833333333337,97.33743770000434,100161.14800225098
1656909170,665900,2517277,0,2,1122784,2,1132839,2,1122784,2,1132791,218,13,0,2022-07-04T07:32:50,-195,-3.2389016666666666,-193696,-3.228266666666667,96.81998821639156,100167.30770192549
1656909172,33400,2518368,0,2,1122784,2,1132839,2,1122784,2,1132791,226,13,0,2022-07-04T07:32:52,-193,-3.21611,-192605,-3.210083333333333,96.17378997802734,100175.0
1656909173,124400,2519460,0,2,1122784,2,1132839,2,1122784,2,1132791,235,13,0,2022-07-04T07:32:53,-192,-3.1979266666666666,-191513,-3.1918833333333336,96.22327856310534,100174.41088328075
1656909174,658400,2520993,0,2,1122784,2,1132839,2,1122784,2,1132791,245,13,0,2022-07-04T07:32:54,-191,-3.17236,-189980,-3.166333333333333,96.70767518680483,100168.64463886821
1656909176,540400,2522875,0,2,1122784,2,1132839,2,1122784,2,1132791,253,13,0,2022-07-04T07:32:56,-189,-3.1409933333333333,-188098,-3.1349666666666667,97.55765095157733,100158.52662847443
1656909178,426400,2524762,0,2,1122784,2,1132839,2,1122784,2,1132791,6,13,0,2022-07-04T07:32:58,-187,-3.10956,-186211,-3.1035166666666667,97.12810480453314,100163.63992336247
1656909180,96600,2526431,0,2,1122784,2,1132839,2,1122784,2,1132791,15,13,0,2022-07-04T07:33:00,-185,-3.0817233333333336,-184542,-3.0757,96.32262555619755,100173.22823098075
1656909181,187600,2527522,0,2,1122784,2,1132839,2,1122784,2,1132791,23,13,0,2022-07-04T07:33:01,-184,-3.06354,-183451,-3.0575166666666664,96.1990393520741,100174.69943820225
1656909182,255600,2528591,0,2,1122784,2,1132839,2,1122784,2,1132791,34,13,0,2022-07-04T07:33:02,-183,-3.0457400000000003,-182382,-3.0397000000000003,96.14271536045105,100175.36988543371
1656909183,738600,2530337,0,2,1122784,2,1132839,2,1122784,2,1132791,45,13,0,2022-07-04T07:33:03,-182,-3.0210233333333334,-180636,-3.0105999999999997,96.77050895959123,100167.89670091942
1656909185,704600,2532303,0,2,1122784,2,1132839,2,1122784,2,1132791,53,13,0,2022-07-04T07:33:05,-180,-2.9882566666666666,-178670,-2.9778333333333333,97.03800907309996,100164.7123853211
1656909187,506600,2534106,0,2,1122784,2,1132839,2,1122784,2,1132791,62,13,0,2022-07-04T07:33:07,-178,-2.9582233333333336,-176867,-2.947783333333333,96.9280574816319,100166.02125304406
1656909188,861700,2535196,0,2,1122784,2,1132839,2,1122784,2,1132791,71,13,0,2022-07-04T07:33:08,-177,-2.935638333333333,-175777,-2.9296166666666665,96.19296303809399,100174.77176901925
1656909189,986700,2536321,0,2,1122784,2,1132839,2,1122784,2,1132791,80,13,0,2022-07-04T07:33:09,-176,-2.916888333333333,-174652,-2.9108666666666663,96.49662495316376,100171.15700344431
1656909191,604300,2538354,0,2,1122784,2,1132839,2,1122784,2,1132791,89,13,0,2022-07-04T07:33:11,-174,-2.889928333333333,-172619,-2.8769833333333334,97.2188915139293,100162.55916993831
1656909193,293300,2540042,0,2,1122784,2,1132839,2,1122784,2,1132791,98,13,0,2022-07-04T07:33:13,-172,-2.8617783333333335,-170931,-2.84885,96.76199470383052,100167.99805919456
1656909196,690300,2543440,0,2,1122784,2,1132839,2,1122784,2,1132791,115,13,0,2022-07-04T07:33:16,-169,-2.8051616666666663,-167533,-2.7922166666666666,96.47408423650131,100171.42531840988
1656909197,781300,2544530,0,2,1122784,2,1132839,2,1122784,2,1132791,125,13,0,2022-07-04T07:33:17,-168,-2.7869783333333333,-166443,-2.7740500000000003,96.30799650047612,100173.4024124214
1656909200,119200,2545885,0,2,1122784,2,1132839,2,1122784,2,1132791,133,13,0,2022-07-04T07:33:20,-165,-2.748013333333333,-165088,-2.7514666666666665,97.35773315667734,100160.90639625584
1656909202,405200,2548172,0,2,1122784,2,1132839,2,1122784,2,1132791,142,13,0,2022-07-04T07:33:22,-163,-2.709913333333333,-162801,-2.7133499999999997,95.70080614323605,100180.63028953229
1656909204,548200,2550314,0,2,1122784,2,1132839,2,1122784,2,1132791,151,13,0,2022-07-04T07:33:24,-161,-2.6741966666666666,-160659,-2.67765,96.4581521867794,100171.6149560948
1656909202,958100,2554292,0,2,1122784,2,1132839,2,1122784,2,1132791,178,13,0,2022-07-04T07:33:22,-163,-2.7006983333333334,-156681,-2.6113500000000003,94.66635311678948,100192.94432071269
1656909204,675100,2556009,0,2,1122784,2,1132839,2,1122784,2,1132791,186,13,0,2022-07-04T07:33:24,-161,-2.6720816666666667,-154964,-2.582733333333333,96.42795617419907,100171.9744122368
1656909206,98200,2557597,0,2,1122784,2,1132839,2,1122784,2,1132791,195,13,0,2022-07-04T07:33:26,-159,-2.6483633333333336,-153376,-2.5562666666666667,96.75995875595777,100168.0222374273
1656909207,555700,2559184,0,2,1122784,2,1132839,2,1122784,2,1132791,206,13,0,2022-07-04T07:33:27,-158,-2.6240716666666666,-151789,-2.5298166666666666,96.48849523194926,100171.25374198146
1656909208,914200,2560248,0,2,1122784,2,1132839,2,1122784,2,1132791,217,13,0,2022-07-04T07:33:28,-157,-2.60143,-150725,-2.5120833333333334,95.91513603611996,100178.07894736843
1656909209,978200,2561313,0,2,1122784,2,1132839,2,1122784,2,1132791,228,13,0,2022-07-04T07:33:29,-156,-2.583696666666667,-149660,-2.494333333333333,96.25116368343954,100174.07894736843
1656909211,568200,2562902,0,2,1122784,2,1132839,2,1122784,2,1132791,239,13,0,2022-07-04T07:33:31,-154,-2.557196666666667,-148071,-2.46785,96.59381866455078,100170.0
1656909213,378200,2564712,0,2,1122784,2,1132839,2,1122784,2,1132791,249,13,0,2022-07-04T07:33:33,-152,-2.5270300000000003,-146261,-2.437683333333333,96.71507259584823,100168.55660377358
1656909221,449500,2566828,0,2,1122784,2,1132839,2,1122784,2,1132791,4,13,0,2022-07-04T07:33:41,-144,-2.3925083333333332,-144145,-2.402416666666667,96.20318613031016,100174.65005562958
1656909222,513500,2567891,0,2,1122784,2,1132839,2,1122784,2,1132791,16,13,0,2022-07-04T07:33:42,-143,-2.374775,-143082,-2.3847,96.08978271484375,100176.0
1656909223,577500,2568955,0,2,1122784,2,1132839,2,1122784,2,1132791,26,13,0,2022-07-04T07:33:43,-142,-2.357041666666667,-142018,-2.366966666666667,96.03175138172351,100176.69078947368
1656909224,641500,2570020,0,2,1122784,2,1132839,2,1122784,2,1132791,37,13,0,2022-07-04T07:33:44,-141,-2.3393083333333333,-140953,-2.3492166666666665,96.04546112311662,100176.52755783264
1656909226,199700,2571757,0,2,1122784,2,1132839,2,1122784,2,1132791,48,13,0,2022-07-04T07:33:46,-139,-2.3133383333333333,-139216,-2.320266666666667,96.9541046647496,100165.71116096467
1656909227,859700,2573417,0,2,1122784,2,1132839,2,1122784,2,1132791,58,13,0,2022-07-04T07:33:47,-138,-2.2856716666666665,-137556,-2.2926,97.0339026782167,100164.76126674787
1656909229,624700,2575183,0,2,1122784,2,1132839,2,1122784,2,1132791,70,13,0,2022-07-04T07:33:49,-136,-2.2562550000000003,-135790,-2.2631666666666663,96.90355058844062,100166.31297318106
1656909230,913300,2576246,0,2,1122784,2,1132839,2,1122784,2,1132791,81,13,0,2022-07-04T07:33:50,-135,-2.2347783333333333,-134727,-2.24545,96.56784273448743,100170.30921052632
1656909231,977300,2577310,0,2,1122784,2,1132839,2,1122784,2,1132791,91,13,0,2022-07-04T07:33:51,-134,-2.2170449999999997,-133663,-2.227716666666667,96.72314563550447,100168.46052631579
1656909233,41300,2578375,0,2,1122784,2,1132839,2,1122784,2,1132791,102,13,0,2022-07-04T07:33:53,-132,-2.1993116666666666,-132598,-2.209966666666667,96.80340528002583,100167.5050916497
1656909234,514300,2580161,0,2,1122784,2,1132839,2,1122784,2,1132791,113,13,0,2022-07-04T07:33:54,-131,-2.174761666666667,-130812,-2.1802,97.81800735828489,100155.42732558139
1656909236,234300,2581881,0,2,1122784,2,1132839,2,1122784,2,1132791,124,13,0,2022-07-04T07:33:56,-129,-2.1460950000000003,-129092,-2.1515333333333335,97.61111096512961,100157.89024280978
1656909238,616500,2583950,0,2,1122784,2,1132839,2,1122784,2,1132791,133,13,0,2022-07-04T07:33:58,-127,-2.1063916666666667,-127023,-2.11705,97.33717408484765,100161.15117219079
1656909239,707500,2585040,0,2,1122784,2,1132839,2,1122784,2,1132791,142,13,0,2022-07-04T07:33:59,-126,-2.088208333333333,-125933,-2.0988833333333337,96.59381866455078,100170.0
1656909240,798500,2586131,0,2,1122784,2,1132839,2,1122784,2,1132791,150,13,0,2022-07-04T07:34:00,-125,-2.070025,-124842,-2.0806999999999998,96.8715553110033,100166.69385432474
1656909242,121700,2587640,0,2,1122784,2,1132839,2,1122784,2,1132791,159,13,0,2022-07-04T07:34:02,-123,-2.0479716666666667,-123333,-2.0555499999999998,97.9221322801802,100154.18788121188
1656909243,958900,2589477,0,2,1122784,2,1132839,2,1122784,2,1132791,169,13,0,2022-07-04T07:34:03,-122,-2.017351666666667,-121496,-2.0249333333333333,98.21843236356212,100150.66070314126
1656909246,34900,2591553,0,2,1122784,2,1132839,2,1122784,2,1132791,177,13,0,2022-07-04T07:34:06,-119,-1.9827516666666667,-119420,-1.9903333333333333,97.36407178282369,100160.83095975232
1656909249,934700,2595267,0,2,1122784,2,1132839,2,1122784,2,1132791,203,13,0,2022-07-04T07:34:09,-116,-1.9177549999999999,-115706,-1.9284333333333334,96.97056752514847,100165.51517221192
1656909252,64700,2597398,0,2,1122784,2,1132839,2,1122784,2,1132791,213,13,0,2022-07-04T07:34:12,-113,-1.882255,-113575,-1.8929166666666668,97.63151581660968,100157.64732754683
1656909254,393700,2599726,0,2,1122784,2,1132839,2,1122784,2,1132791,222,13,0,2022-07-04T07:34:14,-111,-1.8434383333333335,-111247,-1.8541166666666666,97.83649833198301,100155.20726859738
1656909255,748700,2601081,0,2,1122784,2,1132839,2,1122784,2,1132791,230,13,0,2022-07-04T07:34:15,-110,-1.8208550000000001,-109892,-1.8315333333333332,97.09785461425781,100164.0
1656909256,839700,2602173,0,2,1122784,2,1132839,2,1122784,2,1132791,239,13,0,2022-07-04T07:34:16,-109,-1.8026716666666667,-108800,-1.8133333333333332,97.11702767432446,100163.77176901925
1656909257,930700,2603263,0,2,1122784,2,1132839,2,1122784,2,1132791,248,13,0,2022-07-04T07:34:17,-108,-1.7844883333333332,-107710,-1.7951666666666666,97.29795274243706,100161.61806256307
1656909260,85700,2605418,0,2,1122784,2,1132839,2,1122784,2,1132791,1,13,0,2022-07-04T07:34:20,-105,-1.7485716666666666,-105555,-1.7592500000000002,98.20608263787686,100150.80774120639
1656909261,592600,2607240,0,2,1122784,2,1132839,2,1122784,2,1132791,10,13,0,2022-07-04T07:34:21,-104,-1.7234566666666666,-103733,-1.7288833333333333,98.41890006686975,100148.27435568388
