time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,lat,lon,h,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909202,155000,2546971,102821000,85696,2217,3,93,269233948,226322006,530303729,5207,-69,-24,125,283,214,0,4,4,11,0,2022-07-04T07:33:22,-163,-2.7140833333333334,56.622830280811186,40.05090142867819,153.23654271394432,-164002,-2.733366666666667,96.16891999242567
1656909203,123000,2547940,102822000,89665,2217,3,93,269234129,226322238,530304178,4779,12,5,212,344,214,0,4,32,11,0,2022-07-04T07:33:23,-162,-2.69795,56.62283087842322,40.05091138549248,158.5695138402851,-163033,-2.7172166666666664,94.35783203872649
1656909208,161000,2552978,102827000,109535,2217,3,93,269234191,226322494,530304280,3717,3,80,102,212,214,0,4,176,11,0,2022-07-04T07:33:28,-157,-2.613983333333333,56.62282000558757,40.0509368087151,160.58862602891838,-157995,-2.63325,96.55254559103213
1656909209,179000,2553996,102828000,113514,2217,3,93,269234131,226322458,530304090,3626,4,-33,50,304,214,0,4,204,11,0,2022-07-04T07:33:29,-156,-2.5970166666666668,56.62281580009006,40.05093860894166,158.6218835439736,-156977,-2.6162833333333335,95.9987643191689
1656909210,147000,2554964,102829000,117485,2217,3,93,269234158,226322574,530304124,3555,10,57,35,216,214,0,4,231,11,0,2022-07-04T07:33:30,-155,-2.5808833333333334,56.622810332459466,40.05095024347934,159.4301532262911,-156009,-2.6001499999999997,96.30447258741336
1656909211,166000,2555982,102830000,121461,2217,3,93,269234181,226322685,530304084,3502,-4,138,22,296,214,0,4,3,11,0,2022-07-04T07:33:31,-154,-2.5639,56.62280167977945,40.050961673817234,159.585928450667,-154991,-2.5831833333333334,96.59381866455078
1656909212,184000,2557001,102831000,125445,2217,3,93,269234089,226322559,530303939,3455,-63,-57,61,335,214,0,4,31,11,0,2022-07-04T07:33:32,-153,-2.5469333333333335,56.62280587727221,40.05095560571152,157.54160374625843,-153972,-2.5662000000000003,96.59381866455078
1656909213,152000,2557969,102832000,129428,2217,3,93,269234000,226322526,530303754,3385,0,-4,16,270,214,0,4,58,11,0,2022-07-04T07:33:33,-152,-2.5308,56.62280343872779,40.05096081984801,155.5051090328469,-153004,-2.5500666666666665,96.66129291102571
1656909214,171000,2558987,102833000,133405,2217,3,93,269233972,226322595,530303704,3295,-8,73,11,196,214,0,4,86,11,0,2022-07-04T07:33:34,-151,-2.5138166666666666,56.62279924625067,40.050972358855,155.2139233545181,-151986,-2.5330999999999997,96.90356302081413
1656909215,192000,2560009,102834000,137383,2217,3,93,269233948,226322621,530303622,3233,8,7,5,210,214,0,4,114,11,0,2022-07-04T07:33:35,-150,-2.4968,56.62279531814689,40.05097811665767,154.52013983161677,-150964,-2.5160666666666667,97.06963530281452
