time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656913885,969000,7230804,28.241758346557617,3.2950000762939453,3.015531063079834,11,11,0,2022-07-04T08:51:25,4520,75.34948333333334,4519831,75.33051666666667,25669.565598508147,2301.3816489361698
1656913886,992000,7231826,27.94871711730957,3.2929999828338623,3.015531063079834,39,11,0,2022-07-04T08:51:26,4521,75.36653333333334,4520853,75.34755,25677.253606214144,2298.685359985192
1656913888,14000,7232849,28.241758346557617,3.2909998893737793,3.075164794921875,67,11,0,2022-07-04T08:51:28,4523,75.38356666666667,4521876,75.36460000000001,25684.452794358076,2296.1633043370953
1656913889,35000,7233869,28.241758346557617,3.2929999828338623,3.0106959342956543,95,11,0,2022-07-04T08:51:29,4524,75.40058333333333,4522896,75.38159999999999,25690.716571774647,2293.970882876135
1656913890,55000,7234889,28.241758346557617,3.2929999828338623,3.015531063079834,123,11,0,2022-07-04T08:51:30,4525,75.41758333333334,4523916,75.3986,25696.17872053764,2292.0609493493116
1656913891,75000,7235910,27.94871711730957,3.2929999828338623,3.0816118717193604,151,11,0,2022-07-04T08:51:31,4526,75.43458333333334,4524937,75.41561666666666,25701.110984082716,2290.337392829307
1656913892,96000,7236930,28.241758346557617,3.2929999828338623,3.0106959342956543,179,11,0,2022-07-04T08:51:32,4527,75.4516,4525957,75.43261666666668,25705.385252764514,2288.8452844894787
1656913893,116000,7237951,28.241758346557617,3.2929999828338623,3.0139193534851074,208,11,0,2022-07-04T08:51:33,4528,75.4686,4526978,75.44963333333334,25707.806640625,2288.0
1656913894,137000,7238971,28.241758346557617,3.2929999828338623,3.018754482269287,238,11,0,2022-07-04T08:51:34,4529,75.48561666666666,4527998,75.46663333333332,25709.76046237683,2287.3187901008255
1656913895,155000,7239990,27.94871711730957,3.2929999828338623,3.0171430110931396,11,11,0,2022-07-04T08:51:35,4530,75.50258333333333,4529017,75.48361666666666,25718.11438401442,2284.4098224852073
1656913896,174000,7241009,28.53479766845703,3.2950000762939453,3.0139193534851074,40,11,0,2022-07-04T08:51:36,4531,75.51956666666666,4530036,75.5006,25733.714759615385,2278.9831952662726
1656913897,198000,7242032,27.94871711730957,3.2909998893737793,3.0767765045166016,69,11,0,2022-07-04T08:51:37,4532,75.53663333333334,4531059,75.51765,25728.298797415027,2280.8662018838554
