time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656915550,34700,8899317,-11.822854465970682,67514.070953645,33.91553641962746,3297.17724609375,170,13,2,2022-07-04T09:19:10,6185,103.08391166666667,6188344,103.13906666666666,3323.205190423138,67289.72128514067
1656915551,382700,8900665,-11.779436719057571,67632.74397879092,33.91581968562416,3283.449462890625,179,13,2,2022-07-04T09:19:11,6186,103.10637833333334,6189692,103.16153333333334,3287.077448935486,67601.37403740374
1656915552,473700,8901756,-11.747192643405196,67680.25781743304,33.88692112570253,3277.958251953125,187,13,2,2022-07-04T09:19:12,6187,103.12456166666666,6190783,103.17971666666668,3277.911666744249,67680.67002749766
1656915553,564700,8902847,-11.710798326261283,67762.55570739454,33.88230211051718,3268.455078125,197,13,2,2022-07-04T09:19:13,6188,103.142745,6191874,103.19789999999999,3269.0669464474972,67757.26122823097
1656915555,626700,8904909,-11.639605891235055,67935.24845491351,33.83908301217543,3248.543701171875,205,13,2,2022-07-04T09:19:15,6190,103.17711166666666,6193936,103.23226666666666,3253.3022032694275,67893.96603611349
1656915557,628700,8906911,-12.349612220312498,67966.92665690079,33.85876905832866,3244.89599609375,213,13,2,2022-07-04T09:19:17,6192,103.21047833333334,6195938,103.26563333333334,3239.085927784051,68017.4198084979
1656915560,678700,8909961,-11.500094094522865,68268.70831648196,33.78169966730785,3210.211669921875,232,13,2,2022-07-04T09:19:20,6195,103.26131166666667,6198988,103.31646666666667,3213.066759248497,68243.8510852379
1656915561,769700,8911052,-11.46210343034834,68348.44468542341,33.78193025574018,3201.068603515625,240,13,2,2022-07-04T09:19:21,6196,103.279495,6200079,103.33465,3204.436245954114,68319.07882676444
1656915563,126700,8912409,-12.04920105601741,68353.78968400334,33.778316071669224,3200.4560546875,250,13,2,2022-07-04T09:19:23,6198,103.30211166666666,6201436,103.35726666666666,3193.919054706034,68410.85819715339
1656915564,516900,8914173,-12.587769558671402,68409.06825015185,33.79909549453038,3194.12353515625,2,13,2,2022-07-04T09:19:24,6199,103.32528166666665,6203200,103.38666666666667,3183.898295351438,68498.42407017855
1656915566,896900,8916179,-12.491676660485883,68537.17357629206,33.741608626904686,3179.46240234375,11,13,2,2022-07-04T09:19:26,6201,103.36494833333333,6205206,103.4201,3166.0152279038057,68654.8674698795
1656915568,509900,8917792,-11.24373661145089,68793.78273470659,33.7103800767458,3150.161376953125,21,13,2,2022-07-04T09:19:28,6203,103.39183166666666,6206819,103.44698333333334,3153.178925282856,68767.33062130178
1656915569,600900,8918883,-11.225539352533815,68831.05188943444,33.73963139627163,3145.913818359375,29,13,2,2022-07-04T09:19:29,6204,103.410015,6207910,103.46516666666666,3144.7718580824635,68841.07882676444
1656915570,868900,8920151,-11.178290312134413,68953.1019172033,33.691324895075056,3132.01513671875,37,13,2,2022-07-04T09:19:30,6205,103.43114833333334,6209178,103.4863,3135.282472435984,68924.40299684543
1656915572,364800,8922011,-12.2583077646417,68940.87026401299,33.69462457498565,3133.40771484375,47,13,2,2022-07-04T09:19:32,6207,103.45608,6211038,103.51729999999999,3122.198161688664,69039.41596470118
1656915574,204700,8923851,-11.043566560210365,69200.1062208118,33.662931476615825,3103.94775390625,56,13,2,2022-07-04T09:19:34,6209,103.486745,6212878,103.54796666666667,3108.2719450587947,69162.02082300448
1656915576,69700,8925716,-10.98578214011702,69330.29032184409,33.69241808078412,3089.18701171875,64,13,2,2022-07-04T09:19:36,6211,103.51782833333333,6214743,103.57905000000001,3091.74000368525,69307.76895734598
1656915577,524900,8926807,-10.961199806464355,69372.79369423709,33.648808774076734,3084.373291015625,74,13,2,2022-07-04T09:19:37,6212,103.54208166666668,6215834,103.59723333333334,3082.001357738626,69393.74051676746
1656915578,615900,8927898,-10.921931908853889,69455.99589777763,33.653887034350625,3074.95703125,82,13,2,2022-07-04T09:19:38,6213,103.560265,6216925,103.61541666666668,3073.7725444062935,69466.46562786434
1656915579,604500,8929245,-10.88489875388475,69546.39878043138,33.62005894072897,3064.735107421875,90,13,2,2022-07-04T09:19:39,6214,103.57674166666668,6218272,103.63786666666667,3065.0594822617804,69543.53557217891
1656915582,291900,8931574,-10.810832398053368,69723.73534986643,33.64477373158867,3044.71533203125,101,13,2,2022-07-04T09:19:42,6217,103.62153166666667,6220601,103.67668333333333,3045.84161979719,69713.76728436406
1656915584,449900,8933732,-11.853821522612998,69748.18523617693,33.60492108659407,3041.957763671875,109,13,2,2022-07-04T09:19:44,6219,103.65749833333332,6222759,103.71265,3028.6316778273813,69866.48148148147
1656915585,540900,8934823,-10.67802360677922,69975.3267126868,33.58225976328409,3016.3837890625,117,13,2,2022-07-04T09:19:45,6220,103.67568166666666,6223850,103.73083333333334,3018.893997542033,69953.012832264
1656915586,808900,8936091,-10.638436332856305,70055.3368152982,33.58733291513191,3007.39111328125,127,13,2,2022-07-04T09:19:46,6221,103.696815,6225118,103.75196666666668,3009.274499550226,70038.57886435332
1656915588,164900,8937447,-11.283323618091504,70052.41558120129,33.574150401920086,3007.719482421875,135,13,2,2022-07-04T09:19:48,6223,103.719415,6226474,103.77456666666667,2999.678141816176,70124.02138643067
1656915589,591000,8939127,-11.664507287493848,70125.11249354944,33.55262597472838,2999.5546875,144,13,2,2022-07-04T09:19:49,6224,103.74318333333333,6228154,103.80256666666668,2988.403383661525,70224.53864748545
1656915591,710000,8941246,-10.47721378672286,70384.99487779454,33.54437438235058,2970.4267578125,154,13,2,2022-07-04T09:19:51,6226,103.7785,6230273,103.83788333333334,2970.146876927773,70387.51216873986
1656915593,320000,8942602,-10.43379538811132,70485.80457749858,33.539727508264015,2959.151611328125,162,13,2,2022-07-04T09:19:53,6228,103.80533333333332,6231629,103.86048333333333,2957.2080458741752,70503.2099378882
1656915594,411000,8943693,-10.391973234272495,70573.14779156246,33.50586489515248,2949.39306640625,170,13,2,2022-07-04T09:19:54,6229,103.82351666666666,6232720,103.87866666666667,2949.0444150202643,70576.2832263978
1656915595,502000,8944784,-10.360686419407262,70653.8172342278,33.49141514397243,2940.388916015625,180,13,2,2022-07-04T09:19:55,6230,103.8417,6233811,103.89685,2941.096045727471,70647.48762603117
1656915597,504000,8946786,-10.299389770878019,70782.058015678,33.49171613297214,2926.093505859375,189,13,2,2022-07-04T09:19:57,6232,103.87506666666667,6235813,103.93021666666667,2925.114917797047,70790.84865134866
1656915599,290200,8948572,-10.243520393262951,70917.59641480962,33.472510414507965,2911.0048828125,197,13,2,2022-07-04T09:19:59,6234,103.90483666666667,6237599,103.95998333333334,2911.527215856397,70912.90548712209
1656915600,772100,8950178,-10.202655912161209,71034.36688000926,33.43861591475492,2898.025390625,207,13,2,2022-07-04T09:20:00,6235,103.929535,6239205,103.98675,2899.8512608881656,71017.94160823124
1656915602,83900,8951490,-10.15285230063455,71123.6926497825,33.44372186313652,2888.10791015625,215,13,2,2022-07-04T09:20:02,6237,103.95139833333333,6240517,104.00861666666667,2889.7335444098153,71109.05861226835
1656915603,299100,8952581,-10.113584048962343,71208.73789233684,33.439035778673826,2878.675537109375,223,13,2,2022-07-04T09:20:03,6238,103.97165166666667,6241608,104.02680000000001,2879.663741603889,71199.83043079745
1656915604,390100,8953672,-10.073038762927808,71299.51553103686,33.44409806081336,2868.616943359375,234,13,2,2022-07-04T09:20:04,6239,103.989835,6242699,104.04498333333332,2872.3530482907295,71265.79289940826
1656915606,538700,8955821,-10.016211480775018,71415.90355187129,33.40051144521349,2855.736083984375,242,13,2,2022-07-04T09:20:06,6241,104.025645,6244848,104.0808,2856.4196152343757,71409.73818181817
1656915608,853100,8958135,-10.85073884737567,71472.54101300871,33.3625335666091,2849.473388671875,250,13,2,2022-07-04T09:20:08,6243,104.06421833333334,6247162,104.11936666666666,2838.4509614089443,71572.3448275862
1656915610,94100,8959376,-9.91660402290836,71671.36647919661,33.36197516913701,2827.523681640625,4,13,2,2022-07-04T09:20:10,6245,104.08490166666667,6248403,104.14005,2827.5844543506773,71670.82559087205
1656915613,796300,8963502,-10.953537779012914,71806.20350707741,33.31342358379949,2812.6650390625,31,13,2,2022-07-04T09:20:13,6248,104.146605,6252529,104.20881666666668,2798.3671350051527,71936.17169097782
1656915616,89100,8965371,-10.848504086683146,71934.15701383697,33.30419124730493,2798.585693359375,39,13,2,2022-07-04T09:20:16,6251,104.18481833333334,6254398,104.23996666666667,2776.6018544466174,72134.35499345836
1656915618,144100,8967426,-11.03207352934687,72035.51603595197,33.303331254337564,2787.447998046875,47,13,2,2022-07-04T09:20:18,6253,104.21906833333334,6256453,104.27421666666667,2767.2119622966084,72219.9698296837
1656915619,235100,8968517,-9.617142473473995,72289.93708514307,33.26086396378383,2759.545166015625,57,13,2,2022-07-04T09:20:19,6254,104.23725166666667,6257544,104.2924,2759.620413020595,72289.26122823097
1656915620,326100,8969608,-9.583301339950413,72369.71413535438,33.30490131771573,2750.813232421875,66,13,2,2022-07-04T09:20:20,6255,104.255435,6258635,104.31058333333334,2751.8874762348896,72359.8964252979
1656915621,677100,8970959,-10.759752117000222,72297.48305002703,33.260828474849085,2758.718994140625,74,13,2,2022-07-04T09:20:21,6256,104.27795166666667,6259986,104.3331,2740.713141799899,72462.07683298193
1656915623,630800,8973268,-10.507223549944229,72488.37776618994,33.247355288516424,2737.839111328125,84,13,2,2022-07-04T09:20:23,6258,104.31051333333333,6262295,104.37158333333333,2726.075979317892,72596.115048119
1656915625,515800,8975153,-10.518716648092141,72610.98562537787,33.2181041863684,2724.451416015625,92,13,2,2022-07-04T09:20:25,6260,104.34193,6264180,104.403,2710.845611055019,72735.77966101695
1656915627,261300,8976543,-9.3505633869672,72842.63654542435,33.22289315217016,2699.206298828125,100,13,2,2022-07-04T09:20:27,6262,104.37102166666666,6265570,104.42616666666666,2697.819500182054,72855.3893954745
1656915628,495300,8977777,-9.309379241836632,72927.04364434918,33.203527748216196,2690.02294921875,111,13,2,2022-07-04T09:20:28,6263,104.39158833333333,6266804,104.44673333333334,2689.2788669580054,72933.90437601291
1656915629,586300,8978868,-9.27521873500989,73006.95649301152,33.21830264857487,2681.3388671875,119,13,2,2022-07-04T09:20:29,6264,104.40977166666667,6267895,104.46491666666667,2680.2138753855065,73017.31203931203
1656915631,359200,8980641,-10.271295459629233,73010.90320975536,33.18507183592928,2680.909423828125,127,13,2,2022-07-04T09:20:31,6266,104.43932,6269668,104.49446666666667,2668.59788391776,73124.33214236634
1656915633,564900,8983231,-9.127083302466394,73299.3729964473,33.17003562503102,2649.6220703125,137,13,2,2022-07-04T09:20:33,6268,104.47608166666667,6272258,104.53763333333333,2650.2439424005506,73293.65223310125
1656915634,859100,8984525,-9.091007179461212,73383.23916598935,33.15063299952887,2640.54541015625,145,13,2,2022-07-04T09:20:34,6269,104.49765166666666,6273552,104.55919999999999,2638.673601342132,73400.56027820711
1656915635,950100,8985616,-9.050780688903979,73473.67398248783,33.15566220103117,2630.76708984375,154,13,2,2022-07-04T09:20:35,6270,104.515835,6274643,104.57738333333333,2629.540206671416,73485.0348304308
1656915640,830100,8990496,-8.90296414398324,73820.99344584232,33.097558478029,2593.302734375,180,13,2,2022-07-04T09:20:40,6275,104.59716833333333,6279523,104.65871666666666,2596.3059197405523,73793.11973811225
1656915643,127300,8992409,-9.605010747830601,73842.33563418886,33.080439870571304,2591.00439453125,190,13,2,2022-07-04T09:20:43,6278,104.63545500000001,6281436,104.69059999999999,2579.469909416551,73949.57390356192
1656915644,361300,8993643,-8.799205084585992,74021.03661999991,33.0930235795115,2571.788330078125,199,13,2,2022-07-04T09:20:44,6279,104.65602166666666,6282670,104.71116666666667,2569.673218960513,74040.73581847645
1656915645,452300,8994734,-8.883489375835051,74088.83010268532,33.06342075420375,2564.509033203125,207,13,2,2022-07-04T09:20:45,6280,104.674205,6283761,104.72935000000001,2561.434723375917,74117.46562786434
1656915646,802300,8996084,-8.725137005653233,74190.79781015395,33.05416566016749,2553.569091796875,217,13,2,2022-07-04T09:20:46,6281,104.69670500000001,6285111,104.75185,2549.774758590455,74226.19135658011
1656915648,944500,8998226,-9.294374161001702,74273.22315587202,33.03273585850184,2544.734619140625,225,13,2,2022-07-04T09:20:48,6283,104.73240833333332,6287253,104.78755,2536.3740079900267,74351.31500446182
1656915650,956500,9000238,-9.697914183934131,74345.60697161617,33.01182602030338,2536.9833984375,233,13,2,2022-07-04T09:20:50,6285,104.76594166666668,6289265,104.82108333333333,2521.1523889696855,74493.6407857811
1656915652,350500,9001632,-8.555929526799355,74581.86180185441,33.000915121434865,2511.7255859375,244,13,2,2022-07-04T09:20:52,6287,104.78917499999999,6290659,104.84431666666666,2509.8161015625074,74599.7546666666
1656915653,441500,9002723,-8.50612500049383,74661.75513760856,32.9668298803826,2503.19921875,252,13,2,2022-07-04T09:20:53,6288,104.80735833333333,6291750,104.8625,2500.844895737856,74683.83043079743
1656915654,675500,9003957,-8.469090847613462,74755.01491345419,32.976721667211535,2493.255859375,4,13,2,2022-07-04T09:20:54,6289,104.82792500000001,6292984,104.88306666666668,2489.7247365659296,74788.1551724138
