time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656915192,624500,8537922,21.168561935424805,92,13,0,2022-07-04T09:13:12,5827,97.127075,5826949,97.11581666666666,6306.685343015598,45269.51831442465
1656915193,895500,8539193,21.168561935424805,100,13,0,2022-07-04T09:13:13,5828,97.14825833333333,5828220,97.137,6295.843136445176,45337.26223404254
1656915194,986500,8540284,21.182605743408203,110,13,0,2022-07-04T09:13:14,5829,97.16644166666667,5829311,97.15518333333333,6285.128982602685,45404.2828597617
1656915196,77500,8541375,21.182605743408203,118,13,0,2022-07-04T09:13:16,5831,97.18462500000001,5830402,97.17336666666667,6274.450690038523,45471.15912007334
1656915197,168500,8542466,21.182605743408203,127,13,0,2022-07-04T09:13:17,5832,97.20280833333332,5831493,97.19155,6264.510247013925,45533.484876260285
1656915198,259500,8543557,21.182605743408203,137,13,0,2022-07-04T09:13:18,5833,97.22099166666666,5832584,97.20973333333333,6255.00461310257,45593.1495268139
1656915199,527500,8544825,21.196653366088867,145,13,0,2022-07-04T09:13:19,5834,97.242125,5833852,97.23086666666667,6243.987159411518,45662.38386801101
1656915200,618500,8545916,21.182605743408203,153,13,0,2022-07-04T09:13:20,5835,97.26030833333333,5834943,97.24905,6233.886319621482,45725.93437213563
1656915201,709500,8547007,21.182605743408203,163,13,0,2022-07-04T09:13:21,5836,97.27849166666667,5836034,97.26723333333332,6223.936034082119,45788.60861594868
1656915202,800500,8548098,21.182605743408203,172,13,0,2022-07-04T09:13:22,5837,97.29667500000001,5837125,97.28541666666666,6213.627632690764,45853.60861594868
1656915204,68500,8549366,21.154512405395508,180,13,0,2022-07-04T09:13:24,5839,97.31780833333333,5838393,97.30655,6202.059950078248,45926.64164037855
1656915205,159500,8550457,21.196653366088867,190,13,0,2022-07-04T09:13:25,5840,97.33599166666666,5839484,97.32473333333334,6192.8921362998435,45984.5858845096
1656915206,250500,8551548,21.182605743408203,198,13,0,2022-07-04T09:13:26,5841,97.354175,5840575,97.34291666666667,6183.899190196063,46041.48487626032
1656915207,341500,8552639,21.182605743408203,206,13,0,2022-07-04T09:13:27,5842,97.37235833333334,5841666,97.36110000000001,6174.461245148513,46101.26012832266
1656915208,432500,8553730,21.168561935424805,217,13,0,2022-07-04T09:13:28,5843,97.39054166666666,5842757,97.37928333333333,6165.051231793422,46160.92302839118
1656915209,700500,8554998,21.168561935424805,225,13,0,2022-07-04T09:13:29,5844,97.411675,5844025,97.40041666666666,6153.388607516754,46234.957103574714
1656915210,791500,8556089,21.182605743408203,233,13,0,2022-07-04T09:13:30,5845,97.42985833333334,5845116,97.4186,6142.570886353544,46303.709624197996
1656915211,882500,8557180,21.168561935424805,243,13,0,2022-07-04T09:13:31,5846,97.44804166666667,5846207,97.43678333333334,6132.913382218153,46365.1591200733
1656915212,973500,8558271,21.168561935424805,251,13,0,2022-07-04T09:13:32,5847,97.466225,5847298,97.45496666666666,6122.917538561238,46428.833363886355
1656915214,64500,8559362,21.196653366088867,4,13,0,2022-07-04T09:13:34,5849,97.48440833333333,5848389,97.47315,6112.468665590494,46495.47003154576
1656915215,332500,8560630,21.182605743408203,14,13,0,2022-07-04T09:13:35,5850,97.50554166666667,5849657,97.49428333333334,6099.968843717772,46575.28285976171
1656915216,423500,8561721,21.196653366088867,22,13,0,2022-07-04T09:13:36,5851,97.523725,5850748,97.51246666666665,6089.508499674179,46642.15912007334
1656915217,514500,8562812,21.196653366088867,30,13,0,2022-07-04T09:13:37,5852,97.54190833333334,5851839,97.53065,6079.841173701018,46704.03538038498
1656915218,605500,8563903,21.21070098876953,40,13,0,2022-07-04T09:13:38,5853,97.56009166666666,5852930,97.54883333333333,6070.987086324749,46760.76805664828
1656915219,876500,8565174,21.196653366088867,49,13,0,2022-07-04T09:13:39,5854,97.581275,5854201,97.57001666666666,6060.998990318513,46824.833363886355
